valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-04-01 00:00:00,-2.002594,-0.30368042,288.82034,292.4862,0.0,26.0,119.25
2024-04-01 01:00:00,-2.230896,-0.24099731,288.58148,292.07693,0.0,26.0,119.25
2024-04-01 02:00:00,-2.3545227,-0.18049622,288.91095,294.80536,0.0,26.0,119.25
2024-04-01 03:00:00,-3.0027924,-0.11672974,288.62195,294.649,0.0,26.0,119.25
2024-04-01 04:00:00,-3.1401978,-0.08337402,288.05725,294.78186,0.0,26.0,119.25
2024-04-01 05:00:00,-3.1280975,0.0549469,286.8853,294.7884,0.0,26.0,119.25
2024-04-01 06:00:00,-2.9791565,-0.1873169,286.75296,295.00717,0.0,26.0,119.25
2024-04-01 07:00:00,-2.510849,-0.22155762,286.51434,295.24002,0.0,26.0,119.25
2024-04-01 08:00:00,-2.0247498,-0.20013428,286.6898,293.7099,0.0,26.0,119.25
2024-04-01 09:00:00,-1.7310181,-0.08427429,287.5912,293.17267,6.67572e-06,26.0,119.25
2024-04-01 10:00:00,-1.0485077,-0.43241882,286.7611,291.81183,0.0,26.0,119.25
2024-04-01 11:00:00,-1.206253,0.11201477,287.11676,291.96527,0.0,26.0,119.25
2024-04-01 12:00:00,-1.252594,0.026977539,287.39453,292.09424,0.0,26.0,119.25
2024-04-01 13:00:00,-0.8374634,-0.17622375,287.4871,292.0992,4.7683716e-07,26.0,119.25
2024-04-01 14:00:00,-0.69125366,-0.0463562,287.45016,292.0067,4.7683716e-07,26.0,119.25
2024-04-01 15:00:00,-0.49642944,0.1490326,287.7426,292.20355,9.536743e-07,26.0,119.25
2024-04-01 16:00:00,-0.47073364,0.14212036,288.23962,292.3421,9.536743e-07,26.0,119.25
2024-04-01 17:00:00,-0.30239868,0.06913757,288.20776,292.3407,0.0,26.0,119.25
2024-04-01 18:00:00,-0.087387085,0.011505127,288.7202,292.33398,0.0,26.0,119.25
2024-04-01 19:00:00,-0.04673767,0.10406494,288.41193,292.55157,0.0,26.0,119.25
2024-04-01 20:00:00,0.10662842,0.3938141,288.636,292.5795,0.0,26.0,119.25
2024-04-01 21:00:00,0.18457031,0.56121826,288.7535,292.73175,0.0,26.0,119.25
2024-04-01 22:00:00,-0.036972046,0.5092468,289.1939,293.705,0.0,26.0,119.25
