valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-07-01 00:00:00,1.3674164,3.3106537,297.72705,303.49002,2.3841858e-06,26.0,119.25
2024-07-01 01:00:00,1.8054657,3.8949127,297.49036,303.8684,9.536743e-06,26.0,119.25
2024-07-01 02:00:00,1.9824829,4.169403,297.39725,305.93982,1.2397766e-05,26.0,119.25
2024-07-01 03:00:00,2.1796265,4.242813,297.41556,305.84827,4.4822693e-05,26.0,119.25
2024-07-01 04:00:00,2.6419525,4.144211,297.1106,306.2365,5.054474e-05,26.0,119.25
2024-07-01 05:00:00,2.5184937,4.1128845,297.5941,306.9214,9.250641e-05,26.0,119.25
2024-07-01 06:00:00,2.2888336,4.1658936,297.90054,307.08002,3.0517578e-05,26.0,119.25
2024-07-01 07:00:00,1.7302094,3.9715729,298.70465,305.8404,4.7683716e-06,26.0,119.25
2024-07-01 08:00:00,1.4010773,4.149063,298.6211,305.56027,0.0,26.0,119.25
2024-07-01 09:00:00,1.3053894,4.136078,298.75668,305.765,0.0,26.0,119.25
2024-07-01 10:00:00,1.0701752,3.1136932,298.164,302.93506,0.0,26.0,119.25
2024-07-01 11:00:00,0.47485352,3.0093079,298.14722,302.61945,0.0,26.0,119.25
2024-07-01 12:00:00,0.18736267,2.6585693,298.38782,302.24298,0.0,26.0,119.25
2024-07-01 13:00:00,0.30329895,2.402771,298.70422,302.20007,0.0,26.0,119.25
2024-07-01 14:00:00,0.38508606,2.5167084,298.7938,301.54413,0.0,26.0,119.25
2024-07-01 15:00:00,0.4563446,2.4821472,298.65472,301.29486,0.0,26.0,119.25
2024-07-01 16:00:00,0.41497803,2.472168,298.71436,301.4574,0.0,26.0,119.25
2024-07-01 17:00:00,0.58073425,2.6265106,298.5226,301.20337,0.0,26.0,119.25
2024-07-01 18:00:00,0.60391235,2.6665192,298.54285,301.18378,0.0,26.0,119.25
2024-07-01 19:00:00,0.77371216,2.6973724,298.54572,301.30347,2.861023e-06,26.0,119.25
2024-07-01 20:00:00,0.93927,2.6809998,298.14816,301.22147,6.67572e-06,26.0,119.25
2024-07-01 21:00:00,1.0095367,2.7050781,298.30493,301.14612,4.2915344e-06,26.0,119.25
2024-07-01 22:00:00,1.0832977,2.180191,298.17792,303.05377,2.861023e-06,26.0,119.25
2024-07-01 23:00:00,0.8881378,2.4733124,297.79376,303.28156,9.536743e-07,26.0,119.25
2024-07-02 00:00:00,1.5733337,3.2532196,297.4142,303.56494,9.536743e-07,26.0,119.25
2024-07-02 01:00:00,1.8745575,4.0286407,296.9333,303.69763,0.0,26.0,119.25
2024-07-02 02:00:00,2.5795288,4.6263123,296.6075,306.7129,0.0,26.0,119.25
2024-07-02 03:00:00,2.64122,4.2682343,296.21732,307.2754,0.0,26.0,119.25
2024-07-02 04:00:00,2.486908,4.112259,296.06784,307.1894,9.536743e-07,26.0,119.25
2024-07-02 05:00:00,2.3964844,4.315323,297.26752,307.081,0.0,26.0,119.25
2024-07-02 06:00:00,2.3622437,4.3899384,297.60486,307.42535,0.0,26.0,119.25
2024-07-02 07:00:00,2.2562866,4.096939,296.96857,307.4494,0.0,26.0,119.25
2024-07-02 08:00:00,1.5680542,4.022827,297.4937,305.8307,0.0,26.0,119.25
2024-07-02 09:00:00,1.1978455,4.015686,297.73315,305.6352,2.861023e-06,26.0,119.25
2024-07-02 10:00:00,0.33477783,2.397995,297.78192,303.3037,0.0,26.0,119.25
2024-07-02 11:00:00,0.79397583,2.675537,297.90607,302.88678,0.0,26.0,119.25
2024-07-02 12:00:00,0.6578369,2.5762024,298.0692,302.63013,0.0,26.0,119.25
2024-07-02 13:00:00,0.7742462,2.7348175,298.24387,302.33194,0.0,26.0,119.25
2024-07-02 14:00:00,0.9463806,2.6864624,298.19458,301.4596,0.0,26.0,119.25
2024-07-02 15:00:00,1.011795,2.1879578,298.17273,300.97543,0.0,26.0,119.25
2024-07-02 16:00:00,1.0352325,1.8657227,298.4118,300.97256,0.0,26.0,119.25
2024-07-02 17:00:00,0.9499512,1.4174042,298.12695,300.18323,0.0,26.0,119.25
2024-07-02 18:00:00,0.9315796,1.2574005,298.0989,300.08978,0.0,26.0,119.25
2024-07-02 19:00:00,0.8256836,1.0363007,297.84534,299.62695,0.0,26.0,119.25
2024-07-02 20:00:00,0.8898926,0.9059143,297.697,298.99762,0.0,26.0,119.25
2024-07-02 21:00:00,0.9025421,0.8640137,297.88925,298.91418,0.0,26.0,119.25
2024-07-02 22:00:00,0.70910645,0.6900177,298.70975,302.0673,0.0,26.0,119.25
2024-07-02 23:00:00,0.62838745,0.8342438,298.3133,302.92517,0.0,26.0,119.25
2024-07-03 00:00:00,0.88894653,0.9146271,297.96677,303.73148,0.0,26.0,119.25
2024-07-03 01:00:00,0.87931824,1.3769073,297.72348,304.50146,0.0,26.0,119.25
2024-07-03 02:00:00,0.92959595,1.9976196,296.5825,307.71774,0.0,26.0,119.25
2024-07-03 03:00:00,0.8443146,2.426422,295.98166,308.12872,0.0,26.0,119.25
2024-07-03 04:00:00,0.6486206,2.833603,295.61322,308.43048,0.0,26.0,119.25
2024-07-03 05:00:00,0.44148254,3.2145538,294.80463,309.8167,0.0,26.0,119.25
2024-07-03 06:00:00,0.21540833,3.6316833,294.49353,309.58838,0.0,26.0,119.25
2024-07-03 07:00:00,0.23886108,3.840332,294.54315,309.4752,1.0967255e-05,26.0,119.25
2024-07-03 08:00:00,0.33613586,3.7270355,294.77612,308.67267,3.8146973e-06,26.0,119.25
2024-07-03 09:00:00,0.35882568,3.3385773,295.1942,308.12183,0.0,26.0,119.25
2024-07-03 10:00:00,-0.77041626,2.0510406,296.01407,304.38037,0.0,26.0,119.25
2024-07-03 11:00:00,-0.62635803,1.8370514,296.1397,303.65356,0.0,26.0,119.25
2024-07-03 12:00:00,-0.35211182,1.8722076,296.78162,302.98364,0.0,26.0,119.25
2024-07-03 13:00:00,-0.02456665,2.0062866,297.1581,302.71216,0.0,26.0,119.25
2024-07-03 14:00:00,0.23440552,1.8019867,297.3266,301.03198,0.0,26.0,119.25
2024-07-03 15:00:00,0.21614075,1.6675568,297.43158,300.1672,0.0,26.0,119.25
2024-07-03 16:00:00,0.618927,1.2969666,297.5713,300.37445,0.0,26.0,119.25
2024-07-03 17:00:00,0.6767273,1.1917877,297.51874,299.48486,0.0,26.0,119.25
2024-07-03 18:00:00,0.34046936,1.3114777,297.41846,299.28748,0.0,26.0,119.25
2024-07-03 19:00:00,0.33522034,1.33992,297.4809,299.20526,0.0,26.0,119.25
2024-07-03 20:00:00,0.517395,1.2629242,297.36353,298.64606,0.0,26.0,119.25
2024-07-03 21:00:00,0.62254333,1.1372528,297.41226,298.79855,0.0,26.0,119.25
2024-07-03 22:00:00,0.6601105,1.0818176,298.49207,302.36865,0.0,26.0,119.25
2024-07-03 23:00:00,0.59506226,1.0607605,297.9829,303.20776,0.0,26.0,119.25
2024-07-04 00:00:00,1.0572968,1.3022766,297.52936,303.68887,0.0,26.0,119.25
2024-07-04 01:00:00,1.7444763,1.5273743,297.13626,304.0241,0.0,26.0,119.25
2024-07-04 02:00:00,2.139038,1.5192413,296.516,307.72726,0.0,26.0,119.25
2024-07-04 03:00:00,2.2641144,1.3005676,296.3175,308.44562,0.0,26.0,119.25
2024-07-04 04:00:00,2.0927582,1.1595459,296.25574,308.83264,0.0,26.0,119.25
2024-07-04 05:00:00,1.8079071,1.3600311,295.3747,310.6767,0.0,26.0,119.25
2024-07-04 06:00:00,1.4822845,1.6876373,294.91797,310.95923,0.0,26.0,119.25
2024-07-04 07:00:00,0.97013855,2.1786652,294.89157,310.68375,0.0,26.0,119.25
