valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-03-01 00:00:00,0.5549011,-3.6531372,273.90247,277.35928,1.4305115e-06,30.25,120.25
2024-03-01 01:00:00,-0.15126038,-4.5676727,273.32376,277.3482,0.0,30.25,120.25
2024-03-01 02:00:00,-0.36686707,-4.273773,272.45618,278.41083,0.0,30.25,120.25
2024-03-01 03:00:00,-0.48487854,-3.8795013,272.36,278.86713,0.0,30.25,120.25
2024-03-01 04:00:00,-0.26359558,-4.238571,272.34662,279.32117,0.0,30.25,120.25
2024-03-01 05:00:00,-0.27903748,-4.0940247,271.4204,279.60626,0.0,30.25,120.25
2024-03-01 06:00:00,-0.43849182,-4.1583557,271.3274,279.88782,0.0,30.25,120.25
2024-03-01 07:00:00,-0.618927,-4.4005737,271.0545,280.10284,0.0,30.25,120.25
2024-03-01 08:00:00,-0.7083893,-4.0695496,270.58395,279.59695,0.0,30.25,120.25
2024-03-01 09:00:00,-0.91259766,-3.4268188,270.36108,279.4687,0.0,30.25,120.25
2024-03-01 10:00:00,-0.43249512,-2.2781067,270.33237,278.80072,0.0,30.25,120.25
2024-03-01 11:00:00,-0.29599,-2.056961,270.83902,278.4828,0.0,30.25,120.25
2024-03-01 12:00:00,-0.35565186,-1.6258087,271.39575,277.9685,0.0,30.25,120.25
2024-03-01 13:00:00,-0.53466797,-1.4722595,271.82666,277.68463,0.0,30.25,120.25
2024-03-01 14:00:00,-1.3774414,-0.60427856,272.15527,276.37845,0.0,30.25,120.25
2024-03-01 15:00:00,-1.4784393,-0.34269714,272.32806,275.67487,0.0,30.25,120.25
2024-03-01 16:00:00,-1.4117279,-0.42729187,272.02988,274.9764,0.0,30.25,120.25
2024-03-01 17:00:00,-1.3774414,-0.025039673,271.6072,273.69778,0.0,30.25,120.25
2024-03-01 18:00:00,-1.620758,-0.6318817,271.43277,273.56757,0.0,30.25,120.25
2024-03-01 19:00:00,-1.5301971,-1.0004883,271.56824,273.8817,0.0,30.25,120.25
2024-03-01 20:00:00,-1.2539215,-1.0304413,272.31885,274.78488,0.0,30.25,120.25
2024-03-01 21:00:00,-0.6120758,-0.5752106,272.35724,274.71808,0.0,30.25,120.25
2024-03-01 22:00:00,0.21199036,1.2994537,274.10266,275.3488,0.0,30.25,120.25
2024-03-01 23:00:00,1.08815,1.0919495,273.23447,274.15094,0.0,30.25,120.25
2024-03-02 00:00:00,0.46525574,1.1629486,273.4193,275.49908,0.0,30.25,120.25
2024-03-02 01:00:00,-0.103393555,1.9826508,272.43976,276.17386,0.0,30.25,120.25
2024-03-02 02:00:00,0.310318,1.730423,271.52026,279.9891,0.0,30.25,120.25
2024-03-02 03:00:00,0.4336853,1.4724426,271.55298,280.32614,0.0,30.25,120.25
2024-03-02 04:00:00,0.5405121,1.4821472,271.6259,280.81873,0.0,30.25,120.25
2024-03-02 05:00:00,0.96572876,1.3045349,271.1306,283.444,0.0,30.25,120.25
2024-03-02 06:00:00,2.1878357,0.6040802,271.23743,283.5459,0.0,30.25,120.25
2024-03-02 07:00:00,2.1384583,0.5356293,270.7481,284.00568,0.0,30.25,120.25
2024-03-02 08:00:00,1.1096344,0.6793823,271.25833,284.24405,0.0,30.25,120.25
2024-03-02 09:00:00,-0.5086212,0.5292511,271.6303,284.0956,0.0,30.25,120.25
2024-03-02 10:00:00,-1.4249115,0.744812,272.9488,281.1353,0.0,30.25,120.25
2024-03-02 11:00:00,-1.5903015,0.86120605,273.1324,280.3364,0.0,30.25,120.25
2024-03-02 12:00:00,-1.8130951,0.8829651,273.5339,278.41257,0.0,30.25,120.25
