valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-05-01 00:00:00,0.7749481,-2.4427032,284.23584,286.475,9.059906e-05,30.25,120.25
2024-05-01 01:00:00,0.80178833,-1.7148895,284.06546,286.4618,3.8146973e-06,30.25,120.25
2024-05-01 02:00:00,0.8585205,-1.6506958,282.8937,289.38898,0.0,30.25,120.25
2024-05-01 03:00:00,0.18681335,-2.7726593,282.74512,290.43704,0.0,30.25,120.25
2024-05-01 04:00:00,-0.54074097,-2.5177917,282.50244,290.95978,0.0,30.25,120.25
2024-05-01 05:00:00,-0.38952637,-2.14328,282.181,292.91617,0.0,30.25,120.25
2024-05-01 06:00:00,-0.521698,-2.565445,282.07635,293.43427,0.0,30.25,120.25
2024-05-01 07:00:00,-0.7427826,-2.7308807,282.16217,293.66705,0.0,30.25,120.25
2024-05-01 08:00:00,-0.64546204,-2.754654,281.7621,293.94037,0.0,30.25,120.25
2024-05-01 09:00:00,-0.39138794,-2.2057953,281.67267,293.7057,0.0,30.25,120.25
2024-05-01 10:00:00,-0.1053772,-1.3931122,284.23126,291.44354,0.0,30.25,120.25
2024-05-01 11:00:00,-0.27189636,-2.353592,283.63898,290.05347,0.0,30.25,120.25
2024-05-01 12:00:00,0.48146057,-2.2897491,283.5457,289.22076,0.0,30.25,120.25
2024-05-01 13:00:00,1.0890961,-1.8314209,283.3912,289.1173,0.0,30.25,120.25
2024-05-01 14:00:00,1.090332,-1.723114,283.76584,287.88043,0.0,30.25,120.25
2024-05-01 15:00:00,-0.1807251,-2.4021912,283.73865,287.42432,0.0,30.25,120.25
2024-05-01 16:00:00,-0.91604614,-1.7336578,284.03262,287.22113,0.0,30.25,120.25
2024-05-01 17:00:00,-1.4585266,-1.8252411,284.22427,286.2298,0.0,30.25,120.25
2024-05-01 18:00:00,-1.3366089,-1.4268951,284.33502,286.41516,0.0,30.25,120.25
2024-05-01 19:00:00,-0.760849,-1.3543243,284.17477,285.89258,0.0,30.25,120.25
2024-05-01 20:00:00,-0.44825745,-1.3907776,283.3246,284.63135,0.0,30.25,120.25
2024-05-01 21:00:00,-0.25064087,-1.949173,283.23975,284.50745,0.0,30.25,120.25
