valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-08-01 00:00:00,2.7045288,2.2026215,295.8864,308.89398,0.0,30.25,120.25
2024-08-01 01:00:00,3.2904205,2.0154114,296.0863,309.28793,0.0,30.25,120.25
2024-08-01 02:00:00,3.4170837,1.8304291,294.9892,311.9126,0.0,30.25,120.25
2024-08-01 03:00:00,3.407135,1.5567017,295.14062,312.5642,0.0,30.25,120.25
2024-08-01 04:00:00,3.308487,1.5138397,295.02707,313.05884,0.0,30.25,120.25
2024-08-01 05:00:00,3.0770264,1.3470917,294.09277,314.25092,0.0,30.25,120.25
2024-08-01 06:00:00,2.7738953,1.0874634,293.839,314.54443,0.0,30.25,120.25
2024-08-01 07:00:00,2.4233093,0.8364258,293.40106,314.93713,0.0,30.25,120.25
2024-08-01 08:00:00,2.1529694,0.73768616,293.25232,315.1283,0.0,30.25,120.25
2024-08-01 09:00:00,1.8207245,0.49728394,292.44733,314.9798,0.0,30.25,120.25
2024-08-01 10:00:00,1.6468201,0.48518372,294.3075,312.03976,0.0,30.25,120.25
2024-08-01 11:00:00,1.8089142,0.6843567,293.96182,311.34717,0.0,30.25,120.25
2024-08-01 12:00:00,1.5620575,-0.110565186,293.7683,311.09634,0.0,30.25,120.25
2024-08-01 13:00:00,1.6916046,-0.6500397,293.8482,310.70416,0.0,30.25,120.25
2024-08-01 14:00:00,1.7041016,-0.702301,294.8742,309.15823,0.0,30.25,120.25
2024-08-01 15:00:00,1.5196075,-0.5228729,295.1575,308.68628,0.0,30.25,120.25
2024-08-01 16:00:00,1.5202332,-0.5120392,295.18683,308.51044,0.0,30.25,120.25
2024-08-01 17:00:00,1.269516,-0.16067505,295.45746,307.02716,0.0,30.25,120.25
2024-08-01 18:00:00,1.4392853,0.0072631836,295.5035,306.7984,0.0,30.25,120.25
2024-08-01 19:00:00,1.5167694,-0.052597046,295.59448,306.69348,0.0,30.25,120.25
2024-08-01 20:00:00,1.5791931,0.2442627,296.35776,305.32483,0.0,30.25,120.25
2024-08-01 21:00:00,1.5790253,0.9122162,296.45123,305.20172,0.0,30.25,120.25
2024-08-01 22:00:00,1.3450775,1.3279419,295.9978,307.70575,0.0,30.25,120.25
2024-08-01 23:00:00,1.7647247,1.5363922,295.61438,308.56772,0.0,30.25,120.25
2024-08-02 00:00:00,2.2426453,1.2260437,295.6866,308.87018,0.0,30.25,120.25
2024-08-02 01:00:00,2.412796,0.9784851,296.04498,309.47592,0.0,30.25,120.25
2024-08-02 02:00:00,2.3742218,0.6993103,294.37872,312.54395,0.0,30.25,120.25
2024-08-02 03:00:00,2.2027893,0.7566376,294.3858,313.07767,0.0,30.25,120.25
2024-08-02 04:00:00,2.084015,0.88020325,294.38385,313.79242,0.0,30.25,120.25
