valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-09-01 00:00:00,0.015686035,0.23223877,299.1399,303.9862,0.0,30.25,120.25
2024-09-01 01:00:00,0.31874084,0.44026184,298.9776,304.7102,0.0,30.25,120.25
2024-09-01 02:00:00,0.4362793,0.48883057,298.93127,308.6762,0.0,30.25,120.25
2024-09-01 03:00:00,0.26611328,-0.065719604,298.7066,309.27972,0.0,30.25,120.25
2024-09-01 04:00:00,0.018463135,-0.56378174,298.32855,309.73083,2.861023e-06,30.25,120.25
2024-09-01 05:00:00,-0.29270935,-0.8475342,297.60284,311.41223,4.7683716e-07,30.25,120.25
2024-09-01 06:00:00,-0.71928406,-1.4130249,297.60718,311.72507,0.0,30.25,120.25
2024-09-01 07:00:00,-1.4487457,-1.6251221,297.47168,311.79858,0.0,30.25,120.25
2024-09-01 08:00:00,-2.2060394,-1.6028595,298.04654,310.8297,2.861023e-06,30.25,120.25
2024-09-01 09:00:00,-3.1241302,-1.2200165,298.463,310.32806,0.0,30.25,120.25
2024-09-01 10:00:00,-2.4944153,-0.63938904,299.7382,306.84985,0.0,30.25,120.25
2024-09-01 11:00:00,-2.9714966,-0.70654297,300.15735,306.22064,0.0,30.25,120.25
2024-09-01 12:00:00,-3.1126251,-0.49971008,300.33966,305.52646,0.0,30.25,120.25
2024-09-01 13:00:00,-2.663269,-0.30973816,300.36417,305.26685,0.0,30.25,120.25
2024-09-01 14:00:00,-2.257782,-0.08735657,300.4137,304.2724,0.0,30.25,120.25
2024-09-01 15:00:00,-1.7532043,0.09567261,300.49313,303.659,0.0,30.25,120.25
2024-09-01 16:00:00,-1.3080292,-0.00090026855,300.5211,303.65894,0.0,30.25,120.25
2024-09-01 17:00:00,-1.0051575,-0.2545929,300.47662,302.70667,0.0,30.25,120.25
2024-09-01 18:00:00,-1.0013275,-0.28834534,300.46588,302.52594,0.0,30.25,120.25
2024-09-01 19:00:00,-0.94744873,-0.2730255,300.52148,302.54895,0.0,30.25,120.25
2024-09-01 20:00:00,-0.87353516,-0.37698364,300.66858,301.88434,0.0,30.25,120.25
2024-09-01 21:00:00,-0.90486145,-0.39855957,300.6216,301.67242,0.0,30.25,120.25
2024-09-01 22:00:00,0.02897644,-0.5476837,300.9011,304.0921,0.0,30.25,120.25
2024-09-01 23:00:00,-0.1761322,-0.18284607,300.41315,304.82373,0.0,30.25,120.25
2024-09-02 00:00:00,-0.2409668,-0.34779358,300.19287,305.45605,0.0,30.25,120.25
2024-09-02 01:00:00,-0.2164917,-0.31356812,300.1719,306.33044,0.0,30.25,120.25
2024-09-02 02:00:00,-0.5435028,-0.88150024,299.02554,310.5515,2.3841858e-06,30.25,120.25
2024-09-02 03:00:00,-1.045639,-1.6444397,298.89252,310.98376,8.106232e-06,30.25,120.25
2024-09-02 04:00:00,-1.28685,-1.8841248,298.99643,311.19452,3.194809e-05,30.25,120.25
2024-09-02 05:00:00,-1.3650513,-1.860611,298.128,310.5742,4.1007996e-05,30.25,120.25
2024-09-02 06:00:00,-1.4747467,-2.1422882,298.1908,310.7265,1.7166138e-05,30.25,120.25
2024-09-02 07:00:00,-1.9650421,-2.3572388,297.8393,309.98328,0.0,30.25,120.25
2024-09-02 08:00:00,-2.69635,-2.5726624,297.82352,308.4427,1.8119812e-05,30.25,120.25
2024-09-02 09:00:00,-3.0271301,-2.177002,297.1257,308.13397,0.0,30.25,120.25
