valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-12-01 00:00:00,1.7655945,2.2355804,277.60883,281.03622,0.0,30.25,120.25
2024-12-01 01:00:00,1.5844269,1.8232269,278.05762,282.2555,0.0,30.25,120.25
2024-12-01 02:00:00,1.5979156,1.9434662,278.00906,288.776,0.0,30.25,120.25
2024-12-01 03:00:00,1.9217834,2.1164093,277.59924,289.6958,0.0,30.25,120.25
2024-12-01 04:00:00,2.3291168,1.7497406,277.30927,290.2497,0.0,30.25,120.25
2024-12-01 05:00:00,2.411148,1.3581085,275.85803,293.2318,0.0,30.25,120.25
2024-12-01 06:00:00,2.1831818,1.1287994,275.27863,293.56506,0.0,30.25,120.25
2024-12-01 07:00:00,1.2304535,1.0490417,275.58435,293.76984,0.0,30.25,120.25
2024-12-01 08:00:00,-0.35646057,1.5944214,281.10498,291.11853,0.0,30.25,120.25
2024-12-01 09:00:00,-1.4942932,2.0005493,277.39417,289.13715,0.0,30.25,120.25
2024-12-01 10:00:00,-0.90119934,2.3383636,278.54614,283.93994,0.0,30.25,120.25
2024-12-01 11:00:00,-0.21011353,2.4615479,278.2565,283.18707,0.0,30.25,120.25
2024-12-01 12:00:00,0.24650574,2.3679962,278.3921,283.47324,0.0,30.25,120.25
2024-12-01 13:00:00,0.45500183,2.347351,278.36243,283.65265,0.0,30.25,120.25
2024-12-01 14:00:00,0.7798462,2.089676,278.12048,281.70044,0.0,30.25,120.25
2024-12-01 15:00:00,0.94065857,1.7737122,278.28802,281.43915,0.0,30.25,120.25
2024-12-01 16:00:00,1.0170135,1.6493378,278.1607,281.1281,0.0,30.25,120.25
2024-12-01 17:00:00,1.0778198,1.6130066,277.8028,280.24426,0.0,30.25,120.25
2024-12-01 18:00:00,1.190033,1.6073608,277.9029,280.3646,0.0,30.25,120.25
2024-12-01 19:00:00,1.2766113,1.4191284,277.90854,280.29065,0.0,30.25,120.25
2024-12-01 20:00:00,1.3081207,1.2456665,277.85147,279.47888,0.0,30.25,120.25
2024-12-01 21:00:00,1.314331,1.1992188,277.83347,279.27203,0.0,30.25,120.25
2024-12-01 22:00:00,1.3682861,1.3843079,278.8231,280.43643,0.0,30.25,120.25
2024-12-01 23:00:00,1.1623993,1.5906372,278.93494,280.59485,0.0,30.25,120.25
2024-12-02 00:00:00,1.358017,2.016693,279.03015,281.3857,0.0,30.25,120.25
2024-12-02 01:00:00,1.1084442,1.1297913,280.07715,283.23743,0.0,30.25,120.25
2024-12-02 02:00:00,1.0970001,0.90579224,280.28473,289.71643,0.0,30.25,120.25
2024-12-02 03:00:00,1.0595093,0.6873779,280.22687,290.79144,0.0,30.25,120.25
2024-12-02 04:00:00,0.77989197,-0.038604736,279.52252,291.3778,0.0,30.25,120.25
2024-12-02 05:00:00,0.46046448,-0.87991333,278.74652,294.8047,0.0,30.25,120.25
2024-12-02 06:00:00,-0.0042877197,-1.7029266,278.97748,294.9009,0.0,30.25,120.25
2024-12-02 07:00:00,-0.53933716,-1.7435455,279.05746,294.91156,0.0,30.25,120.25
2024-12-02 08:00:00,-1.0646667,-1.3180084,280.71985,292.0813,0.0,30.25,120.25
2024-12-02 09:00:00,-2.252243,-1.8393555,281.95038,289.4945,0.0,30.25,120.25
2024-12-02 10:00:00,-2.4580078,-1.6236115,280.89532,285.81677,0.0,30.25,120.25
2024-12-02 11:00:00,-2.5796967,-0.9741211,280.58905,286.1133,0.0,30.25,120.25
2024-12-02 12:00:00,-1.7906494,-0.33502197,280.5818,287.81622,0.0,30.25,120.25
2024-12-02 13:00:00,-0.90023804,-0.7092743,280.67505,287.22327,0.0,30.25,120.25
2024-12-02 14:00:00,0.21421814,-1.3476715,280.59454,285.26215,0.0,30.25,120.25
2024-12-02 15:00:00,0.29440308,-2.3422546,279.87543,282.7566,0.0,30.25,120.25
2024-12-02 16:00:00,0.11424255,-2.6740723,279.64777,281.85025,0.0,30.25,120.25
2024-12-02 17:00:00,-0.11199951,-2.5902557,279.3097,280.54407,0.0,30.25,120.25
2024-12-02 18:00:00,-0.5614166,-2.657608,279.31195,280.2375,0.0,30.25,120.25
2024-12-02 19:00:00,-0.25143433,-2.507187,279.4856,280.3009,0.0,30.25,120.25
