valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-01-01 00:00:00,-2.9230652,0.109054565,272.06805,273.32178,0.0,31.75,117.25
2024-01-01 01:00:00,-2.859909,0.51942444,271.95374,273.54117,0.0,31.75,117.25
2024-01-01 02:00:00,-2.8646393,0.9796448,273.05762,278.08075,0.0,31.75,117.25
2024-01-01 03:00:00,-2.9375763,1.3296967,272.3762,278.09125,0.0,31.75,117.25
2024-01-01 04:00:00,-2.7421875,1.3880615,272.22626,278.11823,0.0,31.75,117.25
2024-01-01 05:00:00,-2.145935,1.0683899,271.38647,280.99042,0.0,31.75,117.25
2024-01-01 06:00:00,-1.8048859,0.79971313,271.17545,281.06335,0.0,31.75,117.25
2024-01-01 07:00:00,-1.8601685,0.4385376,271.0398,281.03467,0.0,31.75,117.25
2024-01-01 08:00:00,-2.1824188,0.07312012,271.03485,279.95166,0.0,31.75,117.25
2024-01-01 09:00:00,-1.8072968,-0.21734619,271.38507,279.69052,0.0,31.75,117.25
2024-01-01 10:00:00,-2.0438995,-0.5337219,272.2369,275.719,0.0,31.75,117.25
2024-01-01 11:00:00,-2.082077,-0.56607056,272.44247,275.64212,0.0,31.75,117.25
2024-01-01 12:00:00,-2.156479,-0.25753784,272.69455,275.73425,0.0,31.75,117.25
2024-01-01 13:00:00,-2.3411255,0.22862244,272.7727,276.06863,0.0,31.75,117.25
2024-01-01 14:00:00,-1.8914642,0.3328247,272.83075,275.49985,0.0,31.75,117.25
2024-01-01 15:00:00,-1.9441376,0.6261139,272.55515,274.3274,0.0,31.75,117.25
2024-01-01 16:00:00,-1.9306335,0.6468811,272.17606,273.6898,0.0,31.75,117.25
2024-01-01 17:00:00,-1.8618927,0.18580627,272.0058,273.2717,0.0,31.75,117.25
2024-01-01 18:00:00,-1.8420715,-0.10848999,272.05658,273.18912,0.0,31.75,117.25
2024-01-01 19:00:00,-1.8390503,-0.25564575,272.27545,273.61713,0.0,31.75,117.25
2024-01-01 20:00:00,-1.8125305,-0.42892456,272.4196,273.66064,0.0,31.75,117.25
2024-01-01 21:00:00,-1.7313843,-0.19586182,272.22906,273.52817,0.0,31.75,117.25
2024-01-01 22:00:00,-1.6213531,0.3559265,272.71512,273.5279,0.0,31.75,117.25
2024-01-01 23:00:00,-1.5156403,0.47695923,273.10947,274.11658,0.0,31.75,117.25
2024-01-02 00:00:00,-1.5235748,-0.11138916,273.04318,274.425,0.0,31.75,117.25
2024-01-02 01:00:00,-1.117096,-0.5470886,273.0536,274.80795,0.0,31.75,117.25
2024-01-02 02:00:00,-1.1421661,-0.7886658,274.4577,278.27612,0.0,31.75,117.25
2024-01-02 03:00:00,-0.6254425,-0.8471527,274.09552,278.64886,0.0,31.75,117.25
2024-01-02 04:00:00,0.69062805,-1.9302521,273.9077,278.4281,4.720688e-05,31.75,117.25
2024-01-02 05:00:00,1.5962219,-2.7480927,274.01447,278.24194,0.0001783371,31.75,117.25
2024-01-02 06:00:00,1.0913544,-2.8906403,274.32507,277.82928,0.0003490448,31.75,117.25
2024-01-02 07:00:00,0.73591614,-2.916397,275.03238,277.32678,0.00082826614,31.75,117.25
2024-01-02 08:00:00,0.33952332,-2.4826508,274.98218,276.36722,0.000992775,31.75,117.25
