valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-04-01 00:00:00,-3.7496643,1.9375305,288.709,291.97253,0.0,31.75,117.25
2024-04-01 01:00:00,-3.6976929,2.2814636,288.34906,291.94217,0.0,31.75,117.25
2024-04-01 02:00:00,-4.070343,2.3224335,288.95587,298.52606,0.0,31.75,117.25
2024-04-01 03:00:00,-4.204941,2.2172546,288.85437,299.00836,0.0,31.75,117.25
2024-04-01 04:00:00,-4.320862,2.2486572,288.51428,299.2057,0.0,31.75,117.25
2024-04-01 05:00:00,-4.490402,2.9338531,287.26617,301.12238,0.0,31.75,117.25
2024-04-01 06:00:00,-4.4879456,3.3273315,287.32718,301.20053,0.0,31.75,117.25
2024-04-01 07:00:00,-3.9649506,3.7462158,287.62567,301.31815,0.0,31.75,117.25
2024-04-01 08:00:00,-2.894867,2.9033813,289.27182,299.38177,0.0,31.75,117.25
2024-04-01 09:00:00,-2.3179321,2.6081085,289.1947,299.52618,0.0,31.75,117.25
2024-04-01 10:00:00,-1.9694061,0.84980774,290.47205,296.06964,0.0,31.75,117.25
2024-04-01 11:00:00,-1.9025421,1.6364288,290.56012,295.84613,3.33786e-06,31.75,117.25
2024-04-01 12:00:00,-1.1344299,3.231079,290.57617,295.91846,0.00012922287,31.75,117.25
2024-04-01 13:00:00,-0.84332275,3.6587372,291.1082,295.54257,0.00052690506,31.75,117.25
2024-04-01 14:00:00,-0.56137085,2.7778625,292.1689,294.0575,0.0011253357,31.75,117.25
2024-04-01 15:00:00,-1.138031,1.8502045,292.3012,293.6137,0.0024614334,31.75,117.25
2024-04-01 16:00:00,-1.8857727,1.5141907,292.07947,293.59796,0.002773285,31.75,117.25
2024-04-01 17:00:00,-2.198883,1.9441376,292.0183,293.11218,0.00081062317,31.75,117.25
2024-04-01 18:00:00,-2.141098,2.0534973,291.95654,293.16406,0.00088596344,31.75,117.25
2024-04-01 19:00:00,-2.724472,1.3442993,292.00372,293.1883,0.00010251999,31.75,117.25
2024-04-01 20:00:00,-2.93927,1.7170563,292.0149,292.892,0.00023365021,31.75,117.25
2024-04-01 21:00:00,-2.663086,2.0827026,292.1793,293.0208,0.0010056496,31.75,117.25
2024-04-01 22:00:00,-2.3709564,1.9008484,291.7525,292.71085,0.0033273697,31.75,117.25
2024-04-01 23:00:00,-2.7447357,1.1638184,291.84113,292.68246,0.0045671463,31.75,117.25
2024-04-02 00:00:00,-2.6365814,0.94436646,291.81665,292.52496,0.0018334389,31.75,117.25
2024-04-02 01:00:00,-2.4636078,1.3726349,291.90573,292.44397,0.00151968,31.75,117.25
2024-04-02 02:00:00,-2.1575928,1.59198,291.9474,292.52277,0.0021972656,31.75,117.25
2024-04-02 03:00:00,-1.9789429,1.5303955,291.80768,292.14188,0.001994133,31.75,117.25
2024-04-02 04:00:00,-2.110962,1.501648,292.00726,292.14355,0.001760006,31.75,117.25
2024-04-02 05:00:00,-1.9032593,1.6382751,292.17865,292.29602,0.0013475418,31.75,117.25
2024-04-02 06:00:00,-1.6028442,1.0362549,292.4116,292.9809,0.0010209084,31.75,117.25
2024-04-02 07:00:00,-1.6014099,-0.22636414,292.89597,293.17883,0.0003786087,31.75,117.25
2024-04-02 08:00:00,-2.079193,-1.1646729,292.5195,293.0801,0.00017261505,31.75,117.25
2024-04-02 09:00:00,-2.4652863,-1.5976257,292.57034,293.1021,0.00019598007,31.75,117.25
2024-04-02 10:00:00,-1.8419647,-1.1692352,290.7827,290.89062,0.0005850792,31.75,117.25
2024-04-02 11:00:00,-1.6669312,-2.1585693,290.50348,290.75543,0.0005517006,31.75,117.25
2024-04-02 12:00:00,-1.1204529,-1.852356,290.20288,290.6004,0.0007510185,31.75,117.25
2024-04-02 13:00:00,-0.6855774,-1.8744202,290.12238,290.72272,0.00095176697,31.75,117.25
2024-04-02 14:00:00,0.093307495,-1.9357452,289.48273,290.0467,0.001203537,31.75,117.25
2024-04-02 15:00:00,0.7825165,-2.2302094,289.05792,289.6177,0.001452446,31.75,117.25
2024-04-02 16:00:00,0.87002563,-2.6627655,288.99976,289.51416,0.001405716,31.75,117.25
2024-04-02 17:00:00,1.4552155,-3.2700806,288.5232,289.0884,0.0014886856,31.75,117.25
