valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-06-01 00:00:00,-3.4948578,-1.3283691,291.79224,296.01993,0.0,31.75,117.25
2024-06-01 01:00:00,-3.4979248,-0.74832153,291.7431,296.2636,0.0,31.75,117.25
2024-06-01 02:00:00,-3.4094238,-0.14064026,291.42792,299.25647,0.0,31.75,117.25
2024-06-01 03:00:00,-2.997467,-0.19467163,291.08368,299.39816,0.0,31.75,117.25
2024-06-01 04:00:00,-2.9875488,-0.14761353,291.0113,299.566,1.9073486e-06,31.75,117.25
2024-06-01 05:00:00,-2.8186035,-0.19265747,290.49512,301.21332,2.193451e-05,31.75,117.25
2024-06-01 06:00:00,-3.0198212,-0.3216095,290.62314,300.91852,7.1525574e-05,31.75,117.25
2024-06-01 07:00:00,-3.2046661,-0.5280304,290.86346,300.65173,1.4305115e-06,31.75,117.25
2024-06-01 08:00:00,-3.2175903,-0.4048462,290.3655,300.65176,0.0,31.75,117.25
2024-06-01 09:00:00,-3.093521,0.025619507,290.33032,300.69324,4.2915344e-06,31.75,117.25
2024-06-01 10:00:00,-2.6005707,0.1259613,290.9402,299.00635,1.7642975e-05,31.75,117.25
2024-06-01 11:00:00,-2.1842194,0.045898438,291.06735,298.5775,1.4305115e-06,31.75,117.25
2024-06-01 12:00:00,-2.7144165,-0.23873901,291.22137,298.58728,0.0,31.75,117.25
2024-06-01 13:00:00,-2.6749268,-0.05180359,291.39917,298.82376,0.0,31.75,117.25
2024-06-01 14:00:00,-2.4489136,-0.38716125,291.94153,297.92786,0.0,31.75,117.25
2024-06-01 15:00:00,-2.71286,-0.8486328,291.73495,297.2147,0.0,31.75,117.25
2024-06-01 16:00:00,-3.5878143,-0.8095856,292.07028,297.23816,8.010864e-05,31.75,117.25
2024-06-01 17:00:00,-4.2743225,-0.3539734,292.11337,296.40598,0.0,31.75,117.25
2024-06-01 18:00:00,-4.1052704,0.15133667,291.8786,296.3874,0.0,31.75,117.25
2024-06-01 19:00:00,-3.4245148,0.12197876,291.25818,296.03766,0.0,31.75,117.25
2024-06-01 20:00:00,-3.156723,-0.31333923,291.19788,294.95044,0.0,31.75,117.25
2024-06-01 21:00:00,-3.1108856,-0.4186554,290.80103,294.48206,0.0,31.75,117.25
2024-06-01 22:00:00,-3.0143585,0.07173157,289.78693,295.48065,0.0,31.75,117.25
2024-06-01 23:00:00,-3.2540436,0.0116119385,289.88763,295.3436,0.0,31.75,117.25
2024-06-02 00:00:00,-3.3932037,-0.16444397,289.74957,295.18304,0.0,31.75,117.25
2024-06-02 01:00:00,-3.4727173,0.07977295,289.41016,294.98285,0.0,31.75,117.25
2024-06-02 02:00:00,-3.630066,0.31802368,288.08643,297.3923,0.0,31.75,117.25
2024-06-02 03:00:00,-3.969162,0.4350586,287.6403,297.547,0.0,31.75,117.25
2024-06-02 04:00:00,-4.2386017,0.97698975,287.46436,297.7981,0.0,31.75,117.25
2024-06-02 05:00:00,-4.171097,1.0857086,286.38782,298.19464,0.0,31.75,117.25
2024-06-02 06:00:00,-3.603302,0.5121155,286.4622,298.47803,0.0,31.75,117.25
2024-06-02 07:00:00,-3.0621643,-0.115982056,286.63458,298.61017,0.0,31.75,117.25
2024-06-02 08:00:00,-2.4735718,-0.97610474,286.66226,297.97015,0.0,31.75,117.25
2024-06-02 09:00:00,-2.0493011,-1.3910065,287.4876,297.88434,0.0,31.75,117.25
2024-06-02 10:00:00,-1.7986145,-1.7834015,288.19962,296.09158,0.0,31.75,117.25
2024-06-02 11:00:00,-1.6505127,-1.1807861,288.13806,296.4776,0.0,31.75,117.25
2024-06-02 12:00:00,-2.1389008,-1.2677002,288.09134,296.57343,0.0,31.75,117.25
2024-06-02 13:00:00,-2.377655,-0.5649872,288.09113,296.68677,0.0,31.75,117.25
2024-06-02 14:00:00,-2.0790863,0.6184387,288.52856,295.7882,0.0,31.75,117.25
2024-06-02 15:00:00,-1.3607025,1.6887512,288.84338,295.26953,0.0,31.75,117.25
2024-06-02 16:00:00,-0.71725464,2.006546,288.98944,295.02783,0.0,31.75,117.25
2024-06-02 17:00:00,-0.76174927,1.4519196,289.44568,294.14722,0.0,31.75,117.25
2024-06-02 18:00:00,-0.76397705,-0.13574219,289.63782,293.99673,0.0,31.75,117.25
2024-06-02 19:00:00,-1.1688232,-1.3340302,289.84027,293.93332,0.0,31.75,117.25
2024-06-02 20:00:00,-1.5266418,-1.1248627,290.10565,292.91162,0.0,31.75,117.25
2024-06-02 21:00:00,-1.736084,-0.51297,289.9582,293.39636,0.0,31.75,117.25
2024-06-02 22:00:00,-1.6698151,-0.099609375,290.7503,296.8379,0.0,31.75,117.25
2024-06-02 23:00:00,-1.8634796,1.0733337,290.4426,296.78992,0.0,31.75,117.25
2024-06-03 00:00:00,-1.3164825,1.6554108,289.61163,297.0924,0.0,31.75,117.25
2024-06-03 01:00:00,-0.94636536,1.6290283,289.54022,297.0295,0.0,31.75,117.25
2024-06-03 02:00:00,-1.1995392,1.6125336,288.07312,301.48663,0.0,31.75,117.25
2024-06-03 03:00:00,-1.0524902,1.2203217,287.4417,301.3357,0.0,31.75,117.25
2024-06-03 04:00:00,-0.8728943,1.3053589,286.97757,301.55258,0.0,31.75,117.25
2024-06-03 05:00:00,-0.70288086,1.5755768,286.33728,303.60864,0.0,31.75,117.25
2024-06-03 06:00:00,-0.36543274,1.6542664,286.03467,303.77258,0.0,31.75,117.25
2024-06-03 07:00:00,-0.20570374,1.8398285,286.15955,303.70557,0.0,31.75,117.25
2024-06-03 08:00:00,-0.123931885,1.8257751,286.44098,303.5778,0.0,31.75,117.25
2024-06-03 09:00:00,-0.20927429,1.4705048,286.9062,303.49008,0.0,31.75,117.25
2024-06-03 10:00:00,-0.26815796,0.75294495,289.35406,299.6856,0.0,31.75,117.25
2024-06-03 11:00:00,-0.39671326,1.7988281,289.89853,298.73303,0.0,31.75,117.25
2024-06-03 12:00:00,-0.65449524,2.2312622,289.29135,299.0052,0.0,31.75,117.25
2024-06-03 13:00:00,-0.25164795,2.4980164,289.32928,299.33377,0.0,31.75,117.25
2024-06-03 14:00:00,0.018966675,2.4558258,290.03857,297.67355,0.0,31.75,117.25
2024-06-03 15:00:00,-0.27319336,1.1574097,290.8215,296.70685,0.0,31.75,117.25
2024-06-03 16:00:00,-1.2397156,0.14466858,290.63287,298.59015,0.0,31.75,117.25
2024-06-03 17:00:00,-2.5206146,-0.7539673,290.7356,297.3177,0.0,31.75,117.25
2024-06-03 18:00:00,-2.8349304,-0.5327606,291.05573,296.18707,0.0,31.75,117.25
