valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-12-01 00:00:00,0.10348511,2.6779633,276.59125,279.37607,0.0,31.75,117.25
2024-12-01 01:00:00,-0.15385437,2.2372894,276.84473,280.8629,0.0,31.75,117.25
2024-12-01 02:00:00,0.3156891,2.300888,276.13992,289.21936,0.0,31.75,117.25
2024-12-01 03:00:00,0.77822876,2.3459015,275.72424,289.8755,0.0,31.75,117.25
2024-12-01 04:00:00,1.058609,2.248764,275.3288,290.49188,0.0,31.75,117.25
2024-12-01 05:00:00,1.6347809,2.1354523,273.54553,293.46814,0.0,31.75,117.25
2024-12-01 06:00:00,1.8872833,1.7440338,273.68292,293.63342,0.0,31.75,117.25
2024-12-01 07:00:00,1.7187347,1.3703308,273.43005,293.83234,0.0,31.75,117.25
2024-12-01 08:00:00,0.4384613,1.0319214,275.98975,291.27478,0.0,31.75,117.25
2024-12-01 09:00:00,-0.67593384,2.0112915,276.96643,289.82855,0.0,31.75,117.25
2024-12-01 10:00:00,-1.4363556,2.116684,277.4563,283.6001,0.0,31.75,117.25
2024-12-01 11:00:00,-0.8175354,1.9781494,277.8854,283.78082,0.0,31.75,117.25
2024-12-01 12:00:00,-0.30036926,2.2664337,278.25537,283.8248,0.0,31.75,117.25
2024-12-01 13:00:00,0.2919159,2.2877808,278.71008,283.51788,0.0,31.75,117.25
2024-12-01 14:00:00,0.7485962,2.17659,278.9193,282.68872,0.0,31.75,117.25
2024-12-01 15:00:00,1.0187836,1.881134,278.55756,281.45282,0.0,31.75,117.25
2024-12-01 16:00:00,1.3334198,1.6385956,278.28375,280.98944,0.0,31.75,117.25
2024-12-01 17:00:00,1.7389526,1.3083191,277.51373,279.60364,0.0,31.75,117.25
2024-12-01 18:00:00,2.4996033,0.8407593,277.18024,279.21225,0.0,31.75,117.25
2024-12-01 19:00:00,2.5441895,-0.08868408,276.8304,278.74963,0.0,31.75,117.25
2024-12-01 20:00:00,2.211441,-0.37347412,276.34756,277.23474,0.0,31.75,117.25
2024-12-01 21:00:00,2.0740967,-0.546875,276.09323,277.27008,0.0,31.75,117.25
2024-12-01 22:00:00,1.4893799,-0.738739,277.1434,279.02237,0.0,31.75,117.25
2024-12-01 23:00:00,1.3040009,-0.86346436,277.3119,279.28625,0.0,31.75,117.25
2024-12-02 00:00:00,1.2447357,-0.5331116,277.2567,278.8154,0.0,31.75,117.25
2024-12-02 01:00:00,0.800827,-0.28134155,277.5791,279.4933,0.0,31.75,117.25
2024-12-02 02:00:00,0.9358673,-0.07369995,280.1324,289.20862,0.0,31.75,117.25
2024-12-02 03:00:00,1.2694702,-0.16027832,279.01202,290.06097,0.0,31.75,117.25
2024-12-02 04:00:00,1.5962982,-0.6743469,278.53424,290.60046,0.0,31.75,117.25
2024-12-02 05:00:00,1.664566,-0.9687805,276.79144,293.35547,0.0,31.75,117.25
2024-12-02 06:00:00,1.4615326,-1.177536,276.4267,293.64896,0.0,31.75,117.25
2024-12-02 07:00:00,1.1618347,-1.5472565,275.56918,293.86273,0.0,31.75,117.25
2024-12-02 08:00:00,0.36697388,-1.2603912,275.73938,290.8352,0.0,31.75,117.25
2024-12-02 09:00:00,0.31123352,-2.527832,277.4621,289.18396,0.0,31.75,117.25
2024-12-02 10:00:00,0.2705078,-2.7447052,277.21173,284.807,0.0,31.75,117.25
2024-12-02 11:00:00,0.1634674,-3.2475586,277.11444,284.75394,0.0,31.75,117.25
2024-12-02 12:00:00,-0.19006348,-2.94635,277.1775,284.57404,0.0,31.75,117.25
2024-12-02 13:00:00,-0.79867554,-2.37529,277.45435,283.98108,0.0,31.75,117.25
2024-12-02 14:00:00,-1.0435944,-2.2089996,277.7293,282.68207,0.0,31.75,117.25
2024-12-02 15:00:00,-1.4243469,-2.2436218,278.65277,282.08276,0.0,31.75,117.25
2024-12-02 16:00:00,-2.0732574,-2.1818848,279.30402,282.07095,0.0,31.75,117.25
2024-12-02 17:00:00,-2.1315308,-1.7777557,279.53625,281.464,0.0,31.75,117.25
2024-12-02 18:00:00,-2.0243073,-1.726944,279.85492,281.5949,0.0,31.75,117.25
2024-12-02 19:00:00,-1.8412781,-1.97789,279.96606,281.55676,0.0,31.75,117.25
2024-12-02 20:00:00,-2.0371552,-2.394104,280.05026,281.16876,0.0,31.75,117.25
2024-12-02 21:00:00,-2.1175842,-2.3588867,279.87344,281.00494,0.0,31.75,117.25
2024-12-02 22:00:00,-1.824585,-2.2713928,279.7921,281.30304,0.0,31.75,117.25
2024-12-02 23:00:00,-1.9903564,-2.2127228,279.8062,281.53918,0.0,31.75,117.25
2024-12-03 00:00:00,-2.0699463,-1.8250427,279.35413,281.4914,0.0,31.75,117.25
2024-12-03 01:00:00,-2.7900238,-1.5682526,278.88742,281.57373,0.0,31.75,117.25
2024-12-03 02:00:00,-3.129364,-0.9494629,279.26013,283.86835,0.0,31.75,117.25
2024-12-03 03:00:00,-2.6999817,-0.5088959,279.06213,284.0664,0.0,31.75,117.25
2024-12-03 04:00:00,-2.2947235,-0.60198975,278.9229,284.36945,0.0,31.75,117.25
2024-12-03 05:00:00,-2.0320587,-1.0544739,279.23868,285.7182,0.0,31.75,117.25
2024-12-03 06:00:00,-1.8501129,-1.4926147,279.06387,285.55487,0.0,31.75,117.25
2024-12-03 07:00:00,-1.6987152,-2.0676117,279.0678,285.4693,0.0,31.75,117.25
2024-12-03 08:00:00,-0.8672638,-2.0257416,279.18555,284.7602,0.0,31.75,117.25
