valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-01-01 00:00:00,-2.2951355,-0.54133606,270.5876,271.7163,0.0,32.0,118.75
2024-01-01 01:00:00,-2.1030731,-0.1436615,271.3385,272.76382,0.0,32.0,118.75
2024-01-01 02:00:00,-2.4730377,0.63394165,273.0127,277.90887,0.0,32.0,118.75
2024-01-01 03:00:00,-2.3389435,0.7711029,272.08908,278.2104,0.0,32.0,118.75
2024-01-01 04:00:00,-1.9570312,0.5531006,272.34344,278.5772,0.0,32.0,118.75
2024-01-01 05:00:00,-1.5932007,0.3701477,271.6814,280.86932,0.0,32.0,118.75
2024-01-01 06:00:00,-1.2345734,0.31533813,271.65005,281.0946,0.0,32.0,118.75
2024-01-01 07:00:00,-1.0427856,0.17877197,271.57886,281.0952,0.0,32.0,118.75
2024-01-01 08:00:00,-1.3103485,-0.123168945,271.64618,279.8286,0.0,32.0,118.75
2024-01-01 09:00:00,-2.1412811,-0.6226196,271.97882,278.8624,0.0,32.0,118.75
2024-01-01 10:00:00,-2.0106964,-1.1128235,272.4576,275.1233,0.0,32.0,118.75
2024-01-01 11:00:00,-1.894577,-1.2965393,272.462,274.72415,0.0,32.0,118.75
2024-01-01 12:00:00,-1.7922211,-0.7712097,272.45822,274.7616,0.0,32.0,118.75
2024-01-01 13:00:00,-1.9524536,-0.10926819,272.53638,274.96317,0.0,32.0,118.75
2024-01-01 14:00:00,-1.9598236,0.3904419,272.19403,274.0018,0.0,32.0,118.75
2024-01-01 15:00:00,-1.9060516,0.46888733,271.9731,273.53833,0.0,32.0,118.75
2024-01-01 16:00:00,-2.4560242,0.7972717,271.67606,273.1351,0.0,32.0,118.75
2024-01-01 17:00:00,-2.3531036,0.71315,270.82416,271.99435,0.0,32.0,118.75
2024-01-01 18:00:00,-2.1975403,-0.46688843,270.7636,272.04654,0.0,32.0,118.75
2024-01-01 19:00:00,-1.5783081,-0.8484192,270.5489,271.789,0.0,32.0,118.75
2024-01-01 20:00:00,-1.5508118,-0.74435425,270.85123,271.7954,0.0,32.0,118.75
2024-01-01 21:00:00,-1.7919312,-0.37652588,271.1021,272.18832,0.0,32.0,118.75
2024-01-01 22:00:00,-2.1779938,0.20358276,271.10574,271.69,0.0,32.0,118.75
2024-01-01 23:00:00,-1.8632965,0.5716858,271.10165,271.7025,0.0,32.0,118.75
2024-01-02 00:00:00,-2.188614,0.76556396,271.70334,272.5246,0.0,32.0,118.75
2024-01-02 01:00:00,-1.6034241,0.15310669,272.3661,273.5013,0.0,32.0,118.75
2024-01-02 02:00:00,-1.3286896,-0.6910095,274.7331,278.39917,0.0,32.0,118.75
2024-01-02 03:00:00,-1.0785675,-0.94480896,274.80255,279.40863,0.0,32.0,118.75
2024-01-02 04:00:00,-1.4509735,-0.8618927,274.72217,280.057,0.0,32.0,118.75
2024-01-02 05:00:00,-0.34127808,-1.8350067,274.4168,280.48608,2.9563904e-05,32.0,118.75
2024-01-02 06:00:00,0.7124481,-3.0146637,273.9735,280.11835,1.4305115e-05,32.0,118.75
2024-01-02 07:00:00,1.0747833,-3.7308502,273.9738,279.56116,0.00015306473,32.0,118.75
2024-01-02 08:00:00,0.35221863,-3.593979,274.55835,278.05472,0.00040769577,32.0,118.75
2024-01-02 09:00:00,-0.47753906,-3.2765808,274.82565,277.42694,0.00078582764,32.0,118.75
2024-01-02 10:00:00,-0.4179077,-2.3879242,275.18707,275.77576,0.0010528564,32.0,118.75
2024-01-02 11:00:00,-0.47561646,-1.7306061,274.85715,275.2623,0.0009675026,32.0,118.75
2024-01-02 12:00:00,-0.2164154,-1.2544098,274.5655,275.26157,0.00088500977,32.0,118.75
2024-01-02 13:00:00,0.79756165,-0.7186737,274.59875,275.3718,0.0008907318,32.0,118.75
2024-01-02 14:00:00,1.348465,-0.3133545,274.74268,275.19843,0.0005903244,32.0,118.75
2024-01-02 15:00:00,1.6804962,0.08126831,274.7723,275.24014,0.00015258789,32.0,118.75
2024-01-02 16:00:00,2.3780365,-0.41160583,274.99185,275.5089,1.1444092e-05,32.0,118.75
2024-01-02 17:00:00,2.7973175,-0.77604675,274.90714,275.26685,9.536743e-07,32.0,118.75
2024-01-02 18:00:00,2.8085785,-0.67430115,275.0971,275.3529,3.8146973e-06,32.0,118.75
