valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-03-01 00:00:00,-1.3493958,-3.1541138,269.32043,274.1171,0.0,32.0,118.75
2024-03-01 01:00:00,-2.4286041,-3.1623993,269.05423,274.45758,0.0,32.0,118.75
2024-03-01 02:00:00,-2.273117,-2.8831482,268.6046,276.78387,0.0,32.0,118.75
2024-03-01 03:00:00,-1.7749176,-3.0718842,268.62952,277.0351,0.0,32.0,118.75
2024-03-01 04:00:00,-1.700119,-3.1057587,268.6103,277.00476,4.7683716e-07,32.0,118.75
2024-03-01 05:00:00,-1.5778656,-2.9455872,267.55322,278.09454,1.9073486e-06,32.0,118.75
2024-03-01 06:00:00,-1.4687653,-2.537262,267.43872,278.2882,0.0,32.0,118.75
2024-03-01 07:00:00,-1.3327942,-2.4435425,267.40802,278.66144,0.0,32.0,118.75
2024-03-01 08:00:00,-1.2855377,-2.3039246,267.02536,278.13016,0.0,32.0,118.75
2024-03-01 09:00:00,-1.1645508,-2.1826782,266.85522,277.9062,0.0,32.0,118.75
2024-03-01 10:00:00,-0.8572998,-1.7820129,269.0687,275.49408,0.0,32.0,118.75
2024-03-01 11:00:00,-0.8106384,-1.9192657,269.78238,275.03748,0.0,32.0,118.75
2024-03-01 12:00:00,-0.97869873,-1.8074493,270.0227,274.99194,0.0,32.0,118.75
2024-03-01 13:00:00,-1.7524414,-1.7349548,269.46924,275.37213,0.0,32.0,118.75
2024-03-01 14:00:00,-0.87353516,-1.6140442,269.71582,275.08157,0.0,32.0,118.75
2024-03-01 15:00:00,-0.25090027,-1.6190643,270.14838,274.5147,0.0,32.0,118.75
2024-03-01 16:00:00,0.38026428,-1.5513153,270.77206,274.66586,0.0,32.0,118.75
2024-03-01 17:00:00,0.18798828,-0.6891022,271.05838,274.08255,0.0,32.0,118.75
2024-03-01 18:00:00,-0.27212524,0.46284485,270.99527,273.51288,0.0,32.0,118.75
2024-03-01 19:00:00,-0.017501831,1.0961914,270.14636,271.56726,0.0,32.0,118.75
2024-03-01 20:00:00,-0.056655884,1.6736603,270.60986,271.55246,0.0,32.0,118.75
2024-03-01 21:00:00,-0.11500549,1.5536957,270.72833,272.43878,0.0,32.0,118.75
2024-03-01 22:00:00,0.11824036,1.3228912,271.2921,273.82144,0.0,32.0,118.75
2024-03-01 23:00:00,0.5998688,2.1105042,270.9337,274.28375,0.0,32.0,118.75
2024-03-02 00:00:00,0.20939636,2.4441986,270.78064,274.21588,0.0,32.0,118.75
2024-03-02 01:00:00,0.66711426,2.7355804,270.8675,274.77737,0.0,32.0,118.75
2024-03-02 02:00:00,1.7497711,2.6825714,270.14526,280.2899,0.0,32.0,118.75
2024-03-02 03:00:00,2.4161072,2.1677551,269.9651,280.38278,0.0,32.0,118.75
2024-03-02 04:00:00,2.9184418,1.7829285,270.454,280.5453,0.0,32.0,118.75
2024-03-02 05:00:00,3.3973694,1.5057068,270.85522,282.9987,0.0,32.0,118.75
2024-03-02 06:00:00,3.7513123,1.2476349,271.3429,282.9795,0.0,32.0,118.75
2024-03-02 07:00:00,4.360138,0.79441833,270.91803,283.5213,0.0,32.0,118.75
2024-03-02 08:00:00,4.1428375,1.1559448,271.35013,283.4257,0.0,32.0,118.75
2024-03-02 09:00:00,2.3605194,1.6435089,271.11078,283.41788,0.0,32.0,118.75
2024-03-02 10:00:00,0.55067444,1.8639526,272.1148,279.55914,0.0,32.0,118.75
2024-03-02 11:00:00,0.18899536,2.1844482,272.4859,279.37546,0.0,32.0,118.75
2024-03-02 12:00:00,0.38319397,2.49234,272.44016,278.7856,0.0,32.0,118.75
2024-03-02 13:00:00,0.3854065,2.9801636,272.4773,279.15076,0.0,32.0,118.75
2024-03-02 14:00:00,0.52822876,3.086731,272.95642,278.549,0.0,32.0,118.75
2024-03-02 15:00:00,0.71240234,3.0581665,273.17145,278.28607,0.0,32.0,118.75
2024-03-02 16:00:00,0.5669708,3.0226135,273.40787,278.06158,0.0,32.0,118.75
2024-03-02 17:00:00,0.65112305,2.9920044,273.56647,277.48993,0.0,32.0,118.75
2024-03-02 18:00:00,0.82273865,2.729599,273.6631,277.01398,0.0,32.0,118.75
2024-03-02 19:00:00,0.9691925,2.3177948,273.7566,276.27817,0.0,32.0,118.75
2024-03-02 20:00:00,0.84472656,2.2013855,273.54724,275.09915,0.0,32.0,118.75
2024-03-02 21:00:00,0.8933563,2.0661316,273.27078,274.96283,0.0,32.0,118.75
2024-03-02 22:00:00,0.8673248,1.6818848,274.51147,276.41656,0.0,32.0,118.75
2024-03-02 23:00:00,0.37854004,1.6260681,274.53052,276.63782,0.0,32.0,118.75
2024-03-03 00:00:00,0.23271179,2.112915,274.82208,277.41724,0.0,32.0,118.75
2024-03-03 01:00:00,0.67977905,2.4139862,274.66257,277.9347,0.0,32.0,118.75
2024-03-03 02:00:00,0.9621582,2.9586487,274.94794,284.59955,0.0,32.0,118.75
2024-03-03 03:00:00,1.2707214,3.116867,274.9171,285.23016,0.0,32.0,118.75
2024-03-03 04:00:00,0.79371643,2.8925018,274.43542,285.38354,0.0,32.0,118.75
2024-03-03 05:00:00,0.24543762,2.77565,273.66156,287.5583,0.0,32.0,118.75
2024-03-03 06:00:00,-0.09967041,2.8866272,273.6031,287.49927,0.0,32.0,118.75
2024-03-03 07:00:00,-0.4131317,2.9168243,273.77515,287.56046,0.0,32.0,118.75
2024-03-03 08:00:00,-0.83306885,2.6646576,274.3032,286.92694,0.0,32.0,118.75
2024-03-03 09:00:00,-0.89553833,1.5384369,274.239,286.72607,0.0,32.0,118.75
2024-03-03 10:00:00,-2.2434998,0.72361755,275.8926,282.5282,0.0,32.0,118.75
2024-03-03 11:00:00,-2.8436584,0.71813965,275.76984,282.66895,0.0,32.0,118.75
2024-03-03 12:00:00,-3.622879,1.3367157,275.34662,283.09503,0.0,32.0,118.75
2024-03-03 13:00:00,-3.4844666,1.6086273,274.83316,282.97946,0.0,32.0,118.75
2024-03-03 14:00:00,-3.6197052,1.347168,274.69934,281.91513,0.0,32.0,118.75
2024-03-03 15:00:00,-3.7338867,1.273819,274.86703,281.50797,0.0,32.0,118.75
2024-03-03 16:00:00,-3.7187042,1.1047058,274.96738,281.50034,0.0,32.0,118.75
2024-03-03 17:00:00,-3.6934204,0.92456055,275.17752,280.95764,0.0,32.0,118.75
2024-03-03 18:00:00,-3.809433,1.1678009,275.24146,281.23535,0.0,32.0,118.75
2024-03-03 19:00:00,-3.7110138,1.3824005,275.2958,281.46698,8.583069e-06,32.0,118.75
2024-03-03 20:00:00,-3.5616913,1.3963165,275.9532,281.53546,1.1444092e-05,32.0,118.75
2024-03-03 21:00:00,-3.3710938,1.3802338,276.10922,281.61694,4.7683716e-07,32.0,118.75
2024-03-03 22:00:00,-3.4032135,1.1337738,277.06543,282.2171,0.0,32.0,118.75
2024-03-03 23:00:00,-3.4522095,1.7189178,277.14908,282.2102,0.0,32.0,118.75
2024-03-04 00:00:00,-3.6214752,1.8256683,277.30768,282.30847,0.0,32.0,118.75
2024-03-04 01:00:00,-3.266983,1.6490631,277.4007,282.4332,5.7697296e-05,32.0,118.75
2024-03-04 02:00:00,-2.7451782,1.4838867,278.7315,282.84702,0.00039482117,32.0,118.75
2024-03-04 03:00:00,-2.4182434,1.2519073,279.24023,282.33093,0.0007882118,32.0,118.75
2024-03-04 04:00:00,-2.1577911,0.93748474,279.70795,282.25854,0.0008864403,32.0,118.75
2024-03-04 05:00:00,-1.9277344,0.65766907,280.4124,281.91846,0.00057315826,32.0,118.75
2024-03-04 06:00:00,-1.820404,-0.012298584,280.6582,282.2743,0.00021743774,32.0,118.75
2024-03-04 07:00:00,-1.7835693,-0.4880371,280.6413,282.25464,0.0004825592,32.0,118.75
2024-03-04 08:00:00,-1.8713531,-0.5727539,281.165,281.90802,0.0001335144,32.0,118.75
2024-03-04 09:00:00,-2.1764374,-0.30895996,281.21597,282.1033,3.9100647e-05,32.0,118.75
2024-03-04 10:00:00,-2.2135162,-0.10536194,280.89062,281.55267,3.4809113e-05,32.0,118.75
2024-03-04 11:00:00,-1.5925751,-0.094192505,281.03775,281.70923,8.4877014e-05,32.0,118.75
2024-03-04 12:00:00,-1.0711517,-0.06175232,281.09882,281.72406,8.72612e-05,32.0,118.75
2024-03-04 13:00:00,-0.28915405,-0.76768494,281.11176,281.67603,3.5762787e-05,32.0,118.75
2024-03-04 14:00:00,-0.17762756,-1.6528473,281.31598,281.71167,2.527237e-05,32.0,118.75
2024-03-04 15:00:00,-0.015014648,-1.6976318,281.46536,281.80728,8.392334e-05,32.0,118.75
2024-03-04 16:00:00,0.09815979,-1.5757141,281.44626,281.77917,0.000120162964,32.0,118.75
2024-03-04 17:00:00,0.12644958,-1.8161774,281.44495,281.66046,0.00015926361,32.0,118.75
2024-03-04 18:00:00,0.30415344,-2.25,281.5426,281.7621,0.0005021095,32.0,118.75
2024-03-04 19:00:00,0.41566467,-2.406952,281.5458,281.75153,0.00068569183,32.0,118.75
2024-03-04 20:00:00,0.42686462,-2.281784,281.434,281.54623,0.0006637573,32.0,118.75
2024-03-04 21:00:00,1.1816101,-2.2763062,281.30612,281.4228,0.00095939636,32.0,118.75
2024-03-04 22:00:00,1.4837799,-2.8770752,280.8789,281.03363,0.0007686615,32.0,118.75
2024-03-04 23:00:00,1.0616608,-2.9187317,280.70386,280.91595,0.00034713745,32.0,118.75
2024-03-05 00:00:00,1.0285797,-2.8628387,280.68042,280.81982,0.00010967255,32.0,118.75
2024-03-05 01:00:00,1.0697174,-2.8026428,280.54187,280.71893,7.05719e-05,32.0,118.75
2024-03-05 02:00:00,1.7197113,-2.5276184,280.682,281.18774,3.528595e-05,32.0,118.75
2024-03-05 03:00:00,2.7598114,-2.749405,280.62817,281.26282,8.392334e-05,32.0,118.75
2024-03-05 04:00:00,2.8717194,-3.0064545,280.85913,281.22052,0.00013828278,32.0,118.75
2024-03-05 05:00:00,2.5923462,-3.4156036,280.57504,280.95645,2.7179718e-05,32.0,118.75
2024-03-05 06:00:00,2.2317657,-4.0208435,280.79944,281.20148,7.6293945e-06,32.0,118.75
2024-03-05 07:00:00,1.806427,-3.5682983,281.06628,281.51227,3.8146973e-05,32.0,118.75
2024-03-05 08:00:00,1.045166,-3.9344025,280.80566,281.53726,2.9087067e-05,32.0,118.75
2024-03-05 09:00:00,-0.05645752,-4.4903564,280.85876,281.4842,4.386902e-05,32.0,118.75
2024-03-05 10:00:00,-0.48139954,-3.705841,280.09216,281.01593,3.385544e-05,32.0,118.75
2024-03-05 11:00:00,-0.4870453,-3.7821808,279.72015,280.78973,0.00011873245,32.0,118.75
2024-03-05 12:00:00,-0.2765503,-3.8973694,279.44843,280.53214,0.00020885468,32.0,118.75
2024-03-05 13:00:00,-0.39204407,-4.214325,279.22156,280.4287,1.5258789e-05,32.0,118.75
2024-03-05 14:00:00,-0.49647522,-4.0654144,278.36536,280.2956,4.7683716e-06,32.0,118.75
2024-03-05 15:00:00,-0.44200134,-3.914856,277.83038,280.1132,2.861023e-06,32.0,118.75
2024-03-05 16:00:00,-0.21670532,-4.010727,277.61127,280.07263,2.861023e-06,32.0,118.75
2024-03-05 17:00:00,-0.3843994,-4.446228,276.43842,279.6733,2.861023e-06,32.0,118.75
2024-03-05 18:00:00,-0.45988464,-4.356964,275.7235,279.70306,0.0,32.0,118.75
2024-03-05 19:00:00,-0.2585907,-4.2701874,275.44287,279.7964,0.0,32.0,118.75
2024-03-05 20:00:00,-0.2621765,-4.1449127,274.43448,279.2058,0.0,32.0,118.75
2024-03-05 21:00:00,-0.51008606,-3.8769226,274.82043,279.27728,0.0,32.0,118.75
2024-03-05 22:00:00,0.13180542,-2.9085388,274.44794,279.0915,0.0,32.0,118.75
2024-03-05 23:00:00,0.055664062,-3.017929,274.45578,279.03375,0.0,32.0,118.75
2024-03-06 00:00:00,-0.13917542,-3.4119415,274.11594,279.11414,0.0,32.0,118.75
2024-03-06 01:00:00,-0.4190216,-3.8707275,273.61133,279.1203,0.0,32.0,118.75
2024-03-06 02:00:00,-0.80285645,-3.9793396,272.89917,280.54437,0.0,32.0,118.75
2024-03-06 03:00:00,-0.77223206,-3.7913818,272.81436,280.78998,0.0,32.0,118.75
2024-03-06 04:00:00,-0.39738464,-3.6400452,273.42694,281.18762,0.0,32.0,118.75
2024-03-06 05:00:00,-0.18196106,-3.4831848,273.19858,282.86316,0.0,32.0,118.75
2024-03-06 06:00:00,-0.12017822,-3.630951,273.37292,282.90997,0.0,32.0,118.75
2024-03-06 07:00:00,-0.13778687,-3.7470856,273.72836,283.169,0.0,32.0,118.75
2024-03-06 08:00:00,-0.41462708,-3.5217743,274.0534,282.8598,0.0,32.0,118.75
2024-03-06 09:00:00,-0.5716553,-3.1076355,274.36722,282.61905,0.0,32.0,118.75
2024-03-06 10:00:00,-0.34100342,-1.6437683,274.62933,280.31348,0.0,32.0,118.75
2024-03-06 11:00:00,-0.49230957,-2.2001343,274.9563,279.57092,0.0,32.0,118.75
2024-03-06 12:00:00,-0.3062439,-2.1224823,274.9353,279.4072,0.0,32.0,118.75
2024-03-06 13:00:00,0.074905396,-1.9197083,274.97382,279.38043,0.0,32.0,118.75
2024-03-06 14:00:00,0.10055542,-2.1311188,274.7057,278.43372,0.0,32.0,118.75
2024-03-06 15:00:00,-0.28182983,-2.0415497,274.65906,278.05954,0.0,32.0,118.75
