valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-04-01 00:00:00,-3.065094,2.0068665,287.6758,290.03308,0.0,32.0,118.75
2024-04-01 01:00:00,-2.9105835,2.0695496,287.98383,290.7371,0.0,32.0,118.75
2024-04-01 02:00:00,-2.8789368,2.352707,289.53204,297.71942,0.0,32.0,118.75
2024-04-01 03:00:00,-3.4695892,2.5766296,289.76062,298.4029,0.0,32.0,118.75
2024-04-01 04:00:00,-3.6519165,2.6949463,289.49084,298.70178,0.0,32.0,118.75
2024-04-01 05:00:00,-3.8331757,2.9426422,288.4654,301.05206,0.0,32.0,118.75
2024-04-01 06:00:00,-4.4996643,3.1242065,288.3799,301.05795,0.0,32.0,118.75
2024-04-01 07:00:00,-4.667099,3.2579346,288.6452,300.9451,0.0,32.0,118.75
2024-04-01 08:00:00,-4.24057,2.8311157,289.20346,298.62982,0.0,32.0,118.75
2024-04-01 09:00:00,-4.107971,2.7223663,288.88806,298.43048,0.0,32.0,118.75
2024-04-01 10:00:00,-4.5153046,1.8585968,288.87634,294.86652,0.0,32.0,118.75
2024-04-01 11:00:00,-4.4904327,2.0768585,288.64215,294.91644,0.0,32.0,118.75
2024-04-01 12:00:00,-4.1422424,2.356079,288.30273,294.89502,1.4305115e-06,32.0,118.75
2024-04-01 13:00:00,-3.5679321,3.0659637,288.44608,294.62265,4.005432e-05,32.0,118.75
2024-04-01 14:00:00,-3.0359802,3.4604797,289.46774,293.1532,0.0003991127,32.0,118.75
2024-04-01 15:00:00,-2.6214294,3.0113373,290.03363,292.47504,0.00055503845,32.0,118.75
2024-04-01 16:00:00,-2.63089,2.683136,289.7533,291.9417,0.00121212,32.0,118.75
2024-04-01 17:00:00,-2.848297,2.6296844,289.42065,290.8329,0.0019693375,32.0,118.75
2024-04-01 18:00:00,-2.7631683,2.6306458,288.75146,290.35352,0.0030460358,32.0,118.75
2024-04-01 19:00:00,-2.8777924,2.5025024,288.31036,289.92853,0.00096940994,32.0,118.75
2024-04-01 20:00:00,-3.3621216,1.7902985,288.15552,289.392,0.00020694733,32.0,118.75
2024-04-01 21:00:00,-3.1845703,2.1080933,288.1246,289.36066,2.3841858e-05,32.0,118.75
2024-04-01 22:00:00,-2.5389252,1.7621765,289.2271,290.59756,0.000497818,32.0,118.75
2024-04-01 23:00:00,-2.3619232,0.94506836,289.2337,290.35043,0.0022449493,32.0,118.75
2024-04-02 00:00:00,-2.8680267,0.55374146,288.98267,289.9566,0.005125046,32.0,118.75
2024-04-02 01:00:00,-2.5710297,1.1812286,288.92722,289.69397,0.004714012,32.0,118.75
2024-04-02 02:00:00,-1.8421631,1.9611206,289.29895,290.24933,0.0029540062,32.0,118.75
2024-04-02 03:00:00,-1.4330444,1.1085205,289.37018,290.18484,0.002418995,32.0,118.75
2024-04-02 04:00:00,-1.2115479,-0.1506958,289.29242,289.8584,0.0024690628,32.0,118.75
2024-04-02 05:00:00,-1.3690796,-0.7113342,289.59662,289.93274,0.0023527145,32.0,118.75
2024-04-02 06:00:00,-1.6985474,-1.0223389,289.95456,290.1762,0.0018849373,32.0,118.75
2024-04-02 07:00:00,-1.7850037,-1.5496063,290.2534,290.6222,0.0017375946,32.0,118.75
2024-04-02 08:00:00,-2.115326,-1.4527588,290.34763,290.7012,0.000852108,32.0,118.75
2024-04-02 09:00:00,-2.171341,-0.81637573,290.52347,290.86188,0.0002746582,32.0,118.75
2024-04-02 10:00:00,-1.8185272,0.50068665,289.5952,289.62305,0.00017642975,32.0,118.75
2024-04-02 11:00:00,-1.1776733,0.10510254,289.79645,289.93317,0.00025844574,32.0,118.75
2024-04-02 12:00:00,-1.0481873,-0.9089966,289.8435,290.1336,0.00036144257,32.0,118.75
2024-04-02 13:00:00,-0.33499146,-0.7845764,289.9798,290.39655,0.00040388107,32.0,118.75
2024-04-02 14:00:00,-0.5893097,-1.4269562,289.50226,289.9334,0.0015621185,32.0,118.75
2024-04-02 15:00:00,-0.32783508,-1.9030609,289.40753,289.83646,0.0034732819,32.0,118.75
2024-04-02 16:00:00,-0.26669312,-2.2828827,289.26147,289.6626,0.0035581589,32.0,118.75
2024-04-02 17:00:00,-0.6131439,-2.3765259,288.6814,289.106,0.0034217834,32.0,118.75
2024-04-02 18:00:00,-0.061904907,-2.7278595,288.45853,288.85217,0.0025949478,32.0,118.75
2024-04-02 19:00:00,0.6991272,-3.6468658,288.08588,288.40475,9.346008e-05,32.0,118.75
2024-04-02 20:00:00,1.1707916,-4.183716,286.34723,286.8232,0.00016880035,32.0,118.75
2024-04-02 21:00:00,1.4390259,-4.447342,286.00928,286.44916,1.335144e-05,32.0,118.75
2024-04-02 22:00:00,1.7258453,-4.403351,285.21457,286.19528,3.8146973e-06,32.0,118.75
2024-04-02 23:00:00,2.0991058,-3.7691803,285.28455,286.3838,9.536743e-07,32.0,118.75
