valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-05-01 00:00:00,0.8433075,-1.150711,283.06006,287.51407,0.0,32.0,118.75
2024-05-01 01:00:00,0.77053833,-1.7881317,282.85648,288.07898,0.0,32.0,118.75
2024-05-01 02:00:00,0.24914551,-1.7737427,280.757,291.85187,0.0,32.0,118.75
2024-05-01 03:00:00,-0.4967804,-1.8517609,280.53613,292.15384,0.0,32.0,118.75
2024-05-01 04:00:00,-1.5700378,-1.8039246,280.08057,292.84064,0.0,32.0,118.75
2024-05-01 05:00:00,-1.5360107,-1.2799988,278.87045,294.4689,0.0,32.0,118.75
2024-05-01 06:00:00,-1.1027527,-1.2597809,278.7248,294.49872,0.0,32.0,118.75
2024-05-01 07:00:00,-1.210556,-2.0658417,278.6856,294.61237,0.0,32.0,118.75
2024-05-01 08:00:00,-1.5253448,-1.8054352,278.77966,294.59662,0.0,32.0,118.75
2024-05-01 09:00:00,-1.6745911,-1.1852875,279.36993,294.4596,0.0,32.0,118.75
2024-05-01 10:00:00,-0.8534241,-1.359909,284.17657,290.1916,0.0,32.0,118.75
2024-05-01 11:00:00,-1.3119354,-2.1319122,281.01007,291.8484,0.0,32.0,118.75
2024-05-01 12:00:00,-1.7870941,-2.0426788,282.36014,290.10553,0.0,32.0,118.75
2024-05-01 13:00:00,-1.928482,-1.8284912,283.0787,288.73645,0.0,32.0,118.75
2024-05-01 14:00:00,-1.9194336,-1.3334656,283.50217,287.17535,0.0,32.0,118.75
2024-05-01 15:00:00,-1.9561157,-0.56430054,283.06287,287.15283,0.0,32.0,118.75
2024-05-01 16:00:00,-2.0488586,0.0934906,282.7416,287.08246,0.0,32.0,118.75
2024-05-01 17:00:00,-1.901886,0.59272766,283.0485,285.97784,0.0,32.0,118.75
2024-05-01 18:00:00,-1.6520386,0.8191986,282.83502,285.9093,0.0,32.0,118.75
2024-05-01 19:00:00,-1.8643646,1.0997772,282.7197,285.95117,0.0,32.0,118.75
2024-05-01 20:00:00,-2.1328278,1.1775818,282.44373,285.39502,0.0,32.0,118.75
2024-05-01 21:00:00,-1.8512268,0.5459442,282.26123,285.32385,0.0,32.0,118.75
2024-05-01 22:00:00,-2.0776978,0.19064331,283.78802,288.93185,3.1471252e-05,32.0,118.75
2024-05-01 23:00:00,-2.613678,0.35594177,282.929,288.9529,1.8119812e-05,32.0,118.75
2024-05-02 00:00:00,-2.072403,0.50801086,281.97705,289.1461,7.6293945e-06,32.0,118.75
2024-05-02 01:00:00,-2.0703125,0.75927734,281.3427,288.9382,4.196167e-05,32.0,118.75
2024-05-02 02:00:00,-2.243164,0.55648804,279.16553,292.51337,0.0,32.0,118.75
2024-05-02 03:00:00,-2.1768646,0.17697144,279.42743,292.5412,0.0,32.0,118.75
2024-05-02 04:00:00,-2.6059418,0.24060059,279.4643,292.68713,0.0,32.0,118.75
2024-05-02 05:00:00,-2.6947937,0.06958008,278.1637,294.43317,0.0,32.0,118.75
2024-05-02 06:00:00,-3.0300903,-0.39811707,278.2713,294.58627,0.0,32.0,118.75
2024-05-02 07:00:00,-3.7779846,-0.8671417,278.52463,294.8045,0.0,32.0,118.75
2024-05-02 08:00:00,-3.7398376,-1.0102386,278.57773,294.49115,0.0,32.0,118.75
2024-05-02 09:00:00,-2.799759,-0.6055603,279.8412,294.46716,0.0,32.0,118.75
2024-05-02 10:00:00,-1.8665771,-0.19566345,281.3553,290.15643,0.0,32.0,118.75
2024-05-02 11:00:00,-2.2086792,0.061538696,281.26385,289.781,0.0,32.0,118.75
2024-05-02 12:00:00,-2.3388672,0.4777069,281.37366,289.70673,0.0,32.0,118.75
2024-05-02 13:00:00,-2.225006,0.6831207,281.54492,289.45197,0.0,32.0,118.75
2024-05-02 14:00:00,-2.5023499,0.54293823,282.58356,287.7166,0.0,32.0,118.75
2024-05-02 15:00:00,-2.8314972,0.28479004,283.05838,287.127,0.0,32.0,118.75
2024-05-02 16:00:00,-2.8658142,0.48884583,283.5689,287.2497,0.0,32.0,118.75
2024-05-02 17:00:00,-2.6809082,0.694458,284.08862,286.2381,0.0,32.0,118.75
2024-05-02 18:00:00,-2.374878,0.5314636,284.21667,286.1073,0.0,32.0,118.75
2024-05-02 19:00:00,-2.530136,0.24763489,284.39105,286.10486,0.0,32.0,118.75
2024-05-02 20:00:00,-2.734909,-0.10534668,284.87036,285.84003,0.0,32.0,118.75
2024-05-02 21:00:00,-2.6917114,0.13598633,284.78375,285.75092,0.0,32.0,118.75
2024-05-02 22:00:00,-3.505951,-0.044525146,286.53558,289.3191,0.0,32.0,118.75
2024-05-02 23:00:00,-3.9163666,0.06918335,286.58917,289.69385,0.0,32.0,118.75
2024-05-03 00:00:00,-4.083313,1.2189484,286.53976,289.95322,0.0,32.0,118.75
2024-05-03 01:00:00,-4.550476,1.1660309,286.03125,290.3219,9.536743e-07,32.0,118.75
2024-05-03 02:00:00,-5.0960693,1.4632568,285.01624,293.2939,0.0,32.0,118.75
2024-05-03 03:00:00,-4.4592896,1.8293152,285.00958,293.0356,0.0,32.0,118.75
2024-05-03 04:00:00,-4.749237,1.5634918,285.00018,293.26285,0.0,32.0,118.75
2024-05-03 05:00:00,-4.5440826,1.7109222,285.41724,294.04297,0.0,32.0,118.75
2024-05-03 06:00:00,-4.421051,1.8352661,285.13153,294.50446,0.0,32.0,118.75
2024-05-03 07:00:00,-4.241379,1.9237976,284.90457,294.84692,0.0,32.0,118.75
2024-05-03 08:00:00,-3.750534,1.4838257,285.09412,293.9132,0.0,32.0,118.75
2024-05-03 09:00:00,-3.6970062,1.595581,285.42755,294.13568,0.0,32.0,118.75
2024-05-03 10:00:00,-3.226593,1.3048553,285.78033,291.94122,6.67572e-06,32.0,118.75
2024-05-03 11:00:00,-3.704895,1.388031,285.59497,292.11633,1.6212463e-05,32.0,118.75
2024-05-03 12:00:00,-3.3774872,1.4567261,285.2752,292.00714,0.0,32.0,118.75
2024-05-03 13:00:00,-3.344864,1.5864868,284.84918,291.81732,0.0,32.0,118.75
2024-05-03 14:00:00,-3.5215912,1.5412445,284.7083,291.0263,0.0,32.0,118.75
2024-05-03 15:00:00,-3.7505493,1.6358643,284.2072,290.4862,0.0,32.0,118.75
2024-05-03 16:00:00,-4.019684,1.7031555,283.66858,290.55554,0.0,32.0,118.75
2024-05-03 17:00:00,-3.7948303,1.4663086,283.80597,289.73367,0.0,32.0,118.75
2024-05-03 18:00:00,-3.7188416,1.1118774,283.89813,289.6715,0.0,32.0,118.75
2024-05-03 19:00:00,-3.819748,0.7472534,284.18243,289.81854,0.00012397766,32.0,118.75
2024-05-03 20:00:00,-3.8633575,0.7058716,284.9881,289.3772,0.001162529,32.0,118.75
2024-05-03 21:00:00,-3.9255524,0.83288574,285.47125,289.06464,0.0002593994,32.0,118.75
2024-05-03 22:00:00,-3.535675,1.1932373,286.29608,289.24493,6.389618e-05,32.0,118.75
2024-05-03 23:00:00,-3.7946167,0.9291992,286.3316,289.05103,7.6293945e-06,32.0,118.75
2024-05-04 00:00:00,-3.807663,1.4255066,286.4613,288.97815,2.002716e-05,32.0,118.75
2024-05-04 01:00:00,-3.9153442,1.9600525,286.58417,288.8153,0.00013160706,32.0,118.75
