valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-06-01 00:00:00,-2.2839203,-1.1779785,292.4016,295.5043,0.0,32.0,118.75
2024-06-01 01:00:00,-2.3006592,-1.0871887,292.66693,296.19135,0.0,32.0,118.75
2024-06-01 02:00:00,-2.6418457,-1.4238434,292.81854,299.31897,0.0,32.0,118.75
2024-06-01 03:00:00,-2.6859436,-1.934906,292.45087,299.31613,4.673004e-05,32.0,118.75
2024-06-01 04:00:00,-2.6154785,-2.4064026,292.1402,299.35898,7.534027e-05,32.0,118.75
2024-06-01 05:00:00,-2.7844238,-2.582306,291.34668,300.76215,5.6266785e-05,32.0,118.75
2024-06-01 06:00:00,-2.964157,-2.4720001,290.9083,300.93805,6.67572e-06,32.0,118.75
2024-06-01 07:00:00,-3.1519318,-2.234085,290.25995,301.11072,0.0,32.0,118.75
2024-06-01 08:00:00,-3.3630981,-1.8257446,288.6741,300.98965,0.0,32.0,118.75
2024-06-01 09:00:00,-3.1970367,-1.2653961,288.37915,300.95496,0.0,32.0,118.75
2024-06-01 10:00:00,-2.3046722,-0.82325745,288.07495,297.77588,0.0,32.0,118.75
2024-06-01 11:00:00,-2.372696,-0.66796875,288.04,296.92712,0.0,32.0,118.75
2024-06-01 12:00:00,-3.1460571,-0.36764526,287.8249,296.81775,0.0,32.0,118.75
2024-06-01 13:00:00,-3.7940674,0.0683136,287.58276,296.6851,0.0,32.0,118.75
2024-06-01 14:00:00,-3.9020386,-0.08833313,287.37903,295.62708,0.0,32.0,118.75
2024-06-01 15:00:00,-3.697235,-0.24902344,286.7662,295.20688,0.0,32.0,118.75
2024-06-01 16:00:00,-3.5467987,0.03904724,286.5742,295.03503,0.0,32.0,118.75
2024-06-01 17:00:00,-3.3075256,0.6860657,286.81454,293.74973,0.0,32.0,118.75
2024-06-01 18:00:00,-3.2605438,0.9237976,287.08563,293.57684,0.0,32.0,118.75
2024-06-01 19:00:00,-2.9147491,1.1044006,287.4906,293.0572,0.0,32.0,118.75
2024-06-01 20:00:00,-2.1899261,0.92689514,288.31702,291.75903,0.0,32.0,118.75
2024-06-01 21:00:00,-1.6226044,1.118454,288.6311,291.66565,0.0,32.0,118.75
2024-06-01 22:00:00,-1.8483429,0.8891144,289.0584,294.27753,1.1920929e-05,32.0,118.75
2024-06-01 23:00:00,-2.2364655,0.07215881,288.66302,294.33383,0.0,32.0,118.75
2024-06-02 00:00:00,-2.5357819,0.11387634,288.1441,294.46625,0.0,32.0,118.75
2024-06-02 01:00:00,-2.5352173,0.3619995,287.83984,294.1469,0.0,32.0,118.75
