valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-07-01 00:00:00,-1.357193,3.0186615,298.0298,299.21268,3.7670135e-05,32.0,118.75
2024-07-01 01:00:00,0.40116882,4.0335846,297.97668,298.8059,1.04904175e-05,32.0,118.75
2024-07-01 02:00:00,1.500061,3.5365906,298.57498,300.84216,0.00010681152,32.0,118.75
2024-07-01 03:00:00,1.5136108,3.3355865,298.54446,300.99084,0.00013256073,32.0,118.75
2024-07-01 04:00:00,1.1048431,2.9215546,298.56763,301.50214,0.00016355515,32.0,118.75
2024-07-01 05:00:00,0.8895874,2.556244,299.0394,303.57178,0.0003528595,32.0,118.75
2024-07-01 06:00:00,0.10231018,3.0877686,299.14468,304.3144,0.00019073486,32.0,118.75
2024-07-01 07:00:00,0.13450623,3.8983307,299.03278,302.85016,0.003452301,32.0,118.75
2024-07-01 08:00:00,0.50068665,2.2838287,299.13086,300.37277,0.0006866455,32.0,118.75
2024-07-01 09:00:00,0.3005066,2.6399841,299.0184,301.0443,0.001364708,32.0,118.75
2024-07-01 10:00:00,0.13267517,2.0736542,298.3515,299.21045,0.0011930466,32.0,118.75
2024-07-01 11:00:00,-1.2565918,2.3315735,298.35034,299.24054,0.00039958954,32.0,118.75
2024-07-01 12:00:00,-1.5313873,2.7181396,298.40344,299.42657,0.00049972534,32.0,118.75
2024-07-01 13:00:00,-1.9955292,2.3373413,298.23938,299.40515,0.0007638931,32.0,118.75
2024-07-01 14:00:00,-3.052414,2.861435,298.00473,298.95038,0.0009622574,32.0,118.75
2024-07-01 15:00:00,-3.3844757,4.0368347,297.8891,298.92963,0.001124382,32.0,118.75
2024-07-01 16:00:00,-1.531311,5.4487305,297.7788,299.00037,0.0006365776,32.0,118.75
2024-07-01 17:00:00,0.4391327,4.404831,297.27457,298.92603,0.0012078285,32.0,118.75
2024-07-01 18:00:00,0.0043029785,3.0278473,297.51355,299.05292,0.0010356903,32.0,118.75
2024-07-01 19:00:00,-0.8024597,3.285263,297.56915,298.87964,0.0009379387,32.0,118.75
2024-07-01 20:00:00,-0.2111206,4.7571716,297.57394,298.83865,0.0006518364,32.0,118.75
2024-07-01 21:00:00,1.8757477,4.614258,297.61743,298.71643,0.0005016327,32.0,118.75
2024-07-01 22:00:00,2.6467743,1.617691,297.56854,299.06354,0.00024414062,32.0,118.75
2024-07-01 23:00:00,1.4555206,1.9850311,297.74493,298.7796,0.00034046173,32.0,118.75
2024-07-02 00:00:00,1.0157166,2.9543915,297.6017,298.95947,0.0006952286,32.0,118.75
2024-07-02 01:00:00,4.1802216,3.023758,297.5368,298.5746,0.0007247925,32.0,118.75
2024-07-02 02:00:00,4.7650757,0.68392944,297.33212,298.17578,0.00028800964,32.0,118.75
2024-07-02 03:00:00,4.0396576,-0.16438293,296.75638,297.24805,0.00020980835,32.0,118.75
2024-07-02 04:00:00,3.863861,0.34565735,296.6323,297.2558,0.00043010712,32.0,118.75
2024-07-02 05:00:00,4.5898438,0.48719788,296.12494,297.54974,0.0006079674,32.0,118.75
2024-07-02 06:00:00,4.4120483,0.4485321,296.24353,298.06598,0.00013494492,32.0,118.75
2024-07-02 07:00:00,4.5941772,0.11647034,295.93732,298.95526,2.3841858e-06,32.0,118.75
2024-07-02 08:00:00,4.5407104,0.16833496,295.37262,298.9342,0.0,32.0,118.75
2024-07-02 09:00:00,3.2515564,0.8633423,295.70386,299.06488,0.0,32.0,118.75
2024-07-02 10:00:00,1.9363403,1.8481903,295.1784,298.34863,0.0,32.0,118.75
2024-07-02 11:00:00,1.6621399,2.238037,294.99982,298.08795,0.0,32.0,118.75
2024-07-02 12:00:00,1.7369385,2.4502258,295.09656,298.1399,0.0,32.0,118.75
