valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-09-01 00:00:00,-1.1747437,1.78302,299.86646,303.12878,0.0,32.0,118.75
2024-09-01 01:00:00,-0.5757904,1.7674103,299.8448,303.5735,0.0,32.0,118.75
2024-09-01 02:00:00,-0.03149414,1.5679321,300.16565,307.40082,0.0,32.0,118.75
2024-09-01 03:00:00,0.31201172,1.2077179,299.80817,307.48676,6.0081482e-05,32.0,118.75
2024-09-01 04:00:00,0.7694397,0.8571167,299.51605,307.56482,3.33786e-05,32.0,118.75
2024-09-01 05:00:00,0.822525,0.5928955,299.0833,309.27942,3.4809113e-05,32.0,118.75
2024-09-01 06:00:00,0.7377472,0.39849854,299.06226,309.395,0.0,32.0,118.75
2024-09-01 07:00:00,0.5668793,0.25964355,298.8623,309.7478,1.4305115e-05,32.0,118.75
2024-09-01 08:00:00,0.13478088,-0.126297,299.23795,309.16565,1.8119812e-05,32.0,118.75
2024-09-01 09:00:00,-0.37998962,-0.39970398,298.9923,308.43353,2.861023e-05,32.0,118.75
2024-09-01 10:00:00,-0.6887512,-0.07688904,300.26553,304.9026,0.0,32.0,118.75
2024-09-01 11:00:00,-1.2527466,-0.71435547,300.24524,304.4843,0.0,32.0,118.75
2024-09-01 12:00:00,-1.072586,-1.0622101,300.22247,304.44052,0.0,32.0,118.75
2024-09-01 13:00:00,-1.5529175,-0.78434753,300.27432,304.3684,0.0,32.0,118.75
2024-09-01 14:00:00,-1.9589539,-0.31001282,300.3512,303.372,0.0,32.0,118.75
2024-09-01 15:00:00,-1.9612122,0.24020386,300.3232,302.94806,0.0,32.0,118.75
2024-09-01 16:00:00,-1.5902557,0.91218567,300.30038,303.00464,0.0,32.0,118.75
2024-09-01 17:00:00,-1.2287903,1.1575165,300.0782,302.2965,0.0,32.0,118.75
2024-09-01 18:00:00,-0.9398041,1.0505219,300.07135,302.1021,0.0,32.0,118.75
2024-09-01 19:00:00,-0.85076904,1.2552948,300.31055,302.047,3.33786e-06,32.0,118.75
2024-09-01 20:00:00,-0.123535156,1.3388367,299.85217,302.2105,0.0,32.0,118.75
2024-09-01 21:00:00,0.2006073,-0.4161377,299.9634,302.1861,0.0,32.0,118.75
2024-09-01 22:00:00,0.06022644,-0.8660431,300.64914,303.3011,4.7683716e-07,32.0,118.75
2024-09-01 23:00:00,-0.48277283,-1.4328461,300.83112,303.69092,0.0,32.0,118.75
2024-09-02 00:00:00,-0.6413574,-1.7716217,301.06787,304.1123,0.0,32.0,118.75
2024-09-02 01:00:00,-0.9039917,-2.787201,300.18362,303.48865,0.0003285408,32.0,118.75
2024-09-02 02:00:00,-1.578659,-3.2584534,300.20328,305.08667,0.00018548965,32.0,118.75
2024-09-02 03:00:00,-1.8864594,-3.420807,300.51752,304.88416,0.00025510788,32.0,118.75
2024-09-02 04:00:00,-2.4460297,-3.4934998,300.9691,305.54218,1.9073486e-05,32.0,118.75
2024-09-02 05:00:00,-2.9597778,-3.2317047,300.1612,306.1816,2.7179718e-05,32.0,118.75
2024-09-02 06:00:00,-2.9845123,-3.7604523,299.95837,305.92963,0.00015926361,32.0,118.75
2024-09-02 07:00:00,-3.0998077,-4.008606,299.8354,305.80164,0.0003027916,32.0,118.75
2024-09-02 08:00:00,-3.406311,-3.5072327,298.67313,304.1673,0.00025844574,32.0,118.75
2024-09-02 09:00:00,-3.8015442,-3.355713,298.5925,304.10663,0.0001783371,32.0,118.75
2024-09-02 10:00:00,-2.3871613,-3.3549042,298.0953,301.05084,9.536743e-07,32.0,118.75
2024-09-02 11:00:00,-2.5347137,-3.9724731,297.8796,301.14404,0.0,32.0,118.75
2024-09-02 12:00:00,-3.1100311,-4.1104584,297.60492,300.9937,0.0,32.0,118.75
2024-09-02 13:00:00,-3.5420532,-3.8059998,297.17102,300.7919,0.0,32.0,118.75
2024-09-02 14:00:00,-3.3576355,-3.280304,296.4778,299.63406,0.0,32.0,118.75
2024-09-02 15:00:00,-3.0815277,-2.9080505,295.9997,299.2907,0.0,32.0,118.75
2024-09-02 16:00:00,-2.7480164,-2.7249146,295.80798,299.25574,0.0,32.0,118.75
2024-09-02 17:00:00,-2.063034,-2.511032,295.48364,298.4043,0.0,32.0,118.75
2024-09-02 18:00:00,-1.9174194,-2.6327515,295.39978,298.44086,0.0,32.0,118.75
2024-09-02 19:00:00,-1.8060913,-2.8578644,295.4652,298.45712,4.7683716e-07,32.0,118.75
2024-09-02 20:00:00,-1.5154266,-2.9351501,294.9364,297.8161,4.7683716e-07,32.0,118.75
2024-09-02 21:00:00,-1.4938202,-2.9783325,294.90326,297.90143,2.3841858e-06,32.0,118.75
2024-09-02 22:00:00,-1.446106,-2.925064,294.8844,298.92514,5.2452087e-06,32.0,118.75
2024-09-02 23:00:00,-1.596756,-3.330368,294.89905,298.76498,1.3828278e-05,32.0,118.75
2024-09-03 00:00:00,-1.8218536,-3.4509888,294.87274,298.4806,1.9073486e-05,32.0,118.75
2024-09-03 01:00:00,-2.201065,-3.2649384,294.89825,298.391,3.0040741e-05,32.0,118.75
2024-09-03 02:00:00,-2.3093872,-2.7303772,295.28284,300.8444,8.106232e-06,32.0,118.75
2024-09-03 03:00:00,-2.508438,-2.212738,295.53787,301.41547,1.4305115e-06,32.0,118.75
2024-09-03 04:00:00,-2.327774,-1.7495728,295.86618,302.24234,0.0,32.0,118.75
2024-09-03 05:00:00,-2.272049,-1.7166138,295.51074,303.65222,9.536743e-07,32.0,118.75
2024-09-03 06:00:00,-2.3778687,-1.8263855,295.2132,303.69147,0.0,32.0,118.75
2024-09-03 07:00:00,-2.6052399,-1.6537476,295.05118,303.739,0.0,32.0,118.75
2024-09-03 08:00:00,-2.6894226,-1.5036621,295.19055,303.2882,0.0,32.0,118.75
2024-09-03 09:00:00,-2.789688,-1.2831726,294.8911,303.06375,0.0,32.0,118.75
2024-09-03 10:00:00,-1.8072815,-0.905426,295.12933,300.7155,0.0,32.0,118.75
2024-09-03 11:00:00,-1.7625122,-1.3911438,295.2848,300.56714,0.0,32.0,118.75
2024-09-03 12:00:00,-1.8184814,-1.5755463,295.43707,300.41156,0.0,32.0,118.75
2024-09-03 13:00:00,-1.9883423,-1.2721252,295.60162,300.33133,0.0,32.0,118.75
2024-09-03 14:00:00,-2.4596558,-0.98332214,295.8414,299.6337,0.0,32.0,118.75
2024-09-03 15:00:00,-2.8295898,-0.7891846,295.7802,299.36115,0.0,32.0,118.75
2024-09-03 16:00:00,-3.0207367,-0.5423279,295.74258,299.20087,0.0,32.0,118.75
2024-09-03 17:00:00,-3.0782623,-0.14941406,295.6476,298.41388,0.0,32.0,118.75
2024-09-03 18:00:00,-3.0032501,-0.14575195,295.4982,298.29074,0.0,32.0,118.75
2024-09-03 19:00:00,-2.9120636,-0.43258667,295.3332,298.2428,0.0,32.0,118.75
2024-09-03 20:00:00,-3.0141296,-0.5487976,295.2511,297.68262,0.0,32.0,118.75
2024-09-03 21:00:00,-3.0076904,-0.70666504,295.14413,297.64288,0.0,32.0,118.75
2024-09-03 22:00:00,-2.6998596,-0.71087646,295.48148,299.64966,0.0,32.0,118.75
2024-09-03 23:00:00,-2.9562988,-0.5774231,295.50006,299.64572,0.0,32.0,118.75
2024-09-04 00:00:00,-3.0343475,0.024230957,296.02692,299.9718,0.0,32.0,118.75
2024-09-04 01:00:00,-2.9405975,0.38931274,296.8617,300.3989,0.0,32.0,118.75
2024-09-04 02:00:00,-2.9418488,1.3727875,298.3484,304.15082,4.2915344e-06,32.0,118.75
2024-09-04 03:00:00,-2.4930878,1.7202301,298.2895,304.2409,6.055832e-05,32.0,118.75
2024-09-04 04:00:00,-2.3340302,1.0446777,298.11264,304.19092,1.5735626e-05,32.0,118.75
2024-09-04 05:00:00,-2.069458,0.9495239,298.10526,306.0474,2.861023e-06,32.0,118.75
2024-09-04 06:00:00,-1.9557495,0.9933777,297.81522,306.43134,0.0,32.0,118.75
2024-09-04 07:00:00,-2.0987854,1.241272,297.54913,306.58807,0.0,32.0,118.75
2024-09-04 08:00:00,-2.2600555,1.4471283,298.0113,306.04697,0.0,32.0,118.75
2024-09-04 09:00:00,-2.175476,0.9208374,298.3001,305.8606,0.0,32.0,118.75
2024-09-04 10:00:00,-2.1094208,0.31796265,298.68597,303.4613,0.0,32.0,118.75
2024-09-04 11:00:00,-2.3762512,0.37025452,298.8225,303.53375,0.0,32.0,118.75
2024-09-04 12:00:00,-2.6217346,0.46266174,298.92365,303.18948,0.0,32.0,118.75
2024-09-04 13:00:00,-2.7173767,0.36816406,298.92358,303.0708,0.0,32.0,118.75
2024-09-04 14:00:00,-2.7931824,0.21166992,298.86703,301.8688,0.0,32.0,118.75
2024-09-04 15:00:00,-2.784668,0.09677124,298.77176,301.2118,0.0,32.0,118.75
2024-09-04 16:00:00,-2.9224243,0.42141724,298.78378,301.3714,0.0,32.0,118.75
2024-09-04 17:00:00,-2.8817596,1.0137177,298.58133,300.77115,0.0,32.0,118.75
2024-09-04 18:00:00,-2.835434,1.1996307,298.60565,300.7543,0.0,32.0,118.75
2024-09-04 19:00:00,-2.7809296,1.1739655,298.5226,300.6645,0.0,32.0,118.75
2024-09-04 20:00:00,-2.6682281,0.940979,298.5307,299.9138,0.0,32.0,118.75
2024-09-04 21:00:00,-2.497635,0.7503052,298.4882,299.69098,0.0,32.0,118.75
2024-09-04 22:00:00,-2.2553864,0.22840881,299.41058,302.0628,0.0,32.0,118.75
2024-09-04 23:00:00,-2.6010132,0.18174744,299.5273,302.17346,0.0,32.0,118.75
2024-09-05 00:00:00,-2.595169,0.38989258,299.59357,302.38824,0.0,32.0,118.75
2024-09-05 01:00:00,-2.2682495,0.13465881,299.20728,302.62173,0.0,32.0,118.75
2024-09-05 02:00:00,-2.0446014,-0.22872925,298.781,306.07355,0.0,32.0,118.75
2024-09-05 03:00:00,-2.0537567,-0.47755432,298.5567,306.22275,0.0,32.0,118.75
2024-09-05 04:00:00,-2.1588287,-0.7136688,298.43488,306.523,0.0,32.0,118.75
2024-09-05 05:00:00,-2.4019623,-0.99427795,297.84473,307.66022,0.0,32.0,118.75
2024-09-05 06:00:00,-2.472824,-1.4618073,297.61124,307.87216,0.0,32.0,118.75
2024-09-05 07:00:00,-2.6744843,-1.912796,297.30792,307.8467,0.0,32.0,118.75
2024-09-05 08:00:00,-3.0426178,-2.1294556,297.51593,306.7344,0.0,32.0,118.75
2024-09-05 09:00:00,-2.9291077,-1.6315002,297.87766,306.69153,0.0,32.0,118.75
2024-09-05 10:00:00,-2.1567078,-1.5467834,297.7254,303.9959,0.0,32.0,118.75
2024-09-05 11:00:00,-2.1169128,-1.6326599,297.8294,303.65164,0.0,32.0,118.75
2024-09-05 12:00:00,-2.079605,-1.7683258,298.04453,303.3252,0.0,32.0,118.75
2024-09-05 13:00:00,-2.1436768,-1.9303741,298.31488,303.19122,0.0,32.0,118.75
2024-09-05 14:00:00,-2.3509064,-2.0267334,298.19867,302.0105,0.0,32.0,118.75
2024-09-05 15:00:00,-2.6227722,-1.8304901,298.2234,301.64346,0.0,32.0,118.75
2024-09-05 16:00:00,-2.6371918,-1.5319519,298.21368,301.7199,0.0,32.0,118.75
2024-09-05 17:00:00,-2.4902496,-1.5263214,298.07263,300.8157,0.0,32.0,118.75
2024-09-05 18:00:00,-2.3833466,-1.7663879,298.0822,300.60788,4.7683716e-07,32.0,118.75
2024-09-05 19:00:00,-2.423111,-1.8412476,298.20013,300.73993,0.0,32.0,118.75
2024-09-05 20:00:00,-2.370163,-1.9117584,298.19135,300.09244,0.0,32.0,118.75
2024-09-05 21:00:00,-2.3968048,-1.9845428,298.39386,300.28183,0.0,32.0,118.75
2024-09-05 22:00:00,-1.9003448,-1.9872589,298.73868,301.09595,0.0,32.0,118.75
2024-09-05 23:00:00,-2.4654846,-2.3145142,298.72635,301.3199,0.0,32.0,118.75
2024-09-06 00:00:00,-3.2151031,-2.3226776,298.70602,301.63702,5.2452087e-06,32.0,118.75
2024-09-06 01:00:00,-3.4506226,-1.8374176,298.34473,301.92975,1.9073486e-06,32.0,118.75
2024-09-06 02:00:00,-3.442505,-1.4861755,297.84686,304.12775,4.7683716e-07,32.0,118.75
2024-09-06 03:00:00,-3.4645233,-1.2685852,297.5345,304.33057,4.7683716e-07,32.0,118.75
2024-09-06 04:00:00,-3.5678864,-0.9443054,297.3865,304.35352,0.0,32.0,118.75
2024-09-06 05:00:00,-3.5769348,-0.5639496,296.96973,305.60104,0.0,32.0,118.75
2024-09-06 06:00:00,-3.4725952,-0.4925995,296.8852,305.4173,0.0,32.0,118.75
2024-09-06 07:00:00,-3.27536,-0.77145386,296.85986,305.447,1.859665e-05,32.0,118.75
2024-09-06 08:00:00,-3.0551605,-1.218277,296.82343,304.36963,2.193451e-05,32.0,118.75
2024-09-06 09:00:00,-2.8413696,-2.143509,297.05573,304.21204,7.6293945e-06,32.0,118.75
2024-09-06 10:00:00,-2.0501556,-3.1914978,297.71887,301.94446,1.9073486e-06,32.0,118.75
2024-09-06 11:00:00,-2.5105438,-3.294403,298.17438,301.578,0.0,32.0,118.75
2024-09-06 12:00:00,-2.8414307,-3.1020355,298.48364,301.2563,0.0,32.0,118.75
2024-09-06 13:00:00,-3.150116,-2.9813232,298.4835,301.04736,0.0,32.0,118.75
2024-09-06 14:00:00,-3.000702,-2.836975,298.6093,300.4618,0.0,32.0,118.75
2024-09-06 15:00:00,-3.2170563,-2.4692993,298.6849,300.33203,0.0,32.0,118.75
2024-09-06 16:00:00,-3.3648987,-2.0540009,298.54672,300.32837,0.0,32.0,118.75
2024-09-06 17:00:00,-3.1877747,-1.5614319,298.32214,299.80054,0.0,32.0,118.75
2024-09-06 18:00:00,-2.8320312,-1.2598877,298.3223,299.9289,0.0,32.0,118.75
2024-09-06 19:00:00,-2.5303345,-1.1986694,298.34302,299.9698,0.0,32.0,118.75
2024-09-06 20:00:00,-2.5149689,-1.1204681,298.21454,299.4486,0.0,32.0,118.75
2024-09-06 21:00:00,-2.6604156,-0.93013,298.18176,299.38898,0.0,32.0,118.75
2024-09-06 22:00:00,-2.237259,-0.9342346,298.74292,300.99084,0.0,32.0,118.75
2024-09-06 23:00:00,-2.8457184,-0.6443176,298.81052,301.20123,0.0,32.0,118.75
2024-09-07 00:00:00,-3.0289001,0.193573,298.82632,301.65936,0.0,32.0,118.75
2024-09-07 01:00:00,-2.4721832,0.12036133,298.2494,301.88593,0.0,32.0,118.75
2024-09-07 02:00:00,-2.653717,0.0013885498,297.34003,304.5379,9.536743e-07,32.0,118.75
2024-09-07 03:00:00,-2.9523773,-0.06254578,297.08188,304.58978,0.0,32.0,118.75
2024-09-07 04:00:00,-3.2411346,-0.02142334,297.08832,304.88162,4.7683716e-07,32.0,118.75
2024-09-07 05:00:00,-3.2061005,0.028289795,296.62878,306.29703,0.0,32.0,118.75
2024-09-07 06:00:00,-3.1121979,0.052963257,296.56198,306.22388,0.0,32.0,118.75
2024-09-07 07:00:00,-3.0348053,-0.13638306,296.69547,306.3693,6.484985e-05,32.0,118.75
2024-09-07 08:00:00,-3.1607513,-0.5465088,296.56058,305.86743,1.6212463e-05,32.0,118.75
2024-09-07 09:00:00,-3.2649384,-0.8160095,296.83356,305.89856,1.335144e-05,32.0,118.75
2024-09-07 10:00:00,-2.2496338,-0.9602356,297.72693,303.06433,5.2928925e-05,32.0,118.75
2024-09-07 11:00:00,-2.7521362,-1.3765869,297.97897,302.96423,0.0,32.0,118.75
2024-09-07 12:00:00,-3.2165375,-1.7712708,297.99017,302.77484,0.0,32.0,118.75
2024-09-07 13:00:00,-3.3471375,-1.5045624,298.19446,302.35333,0.0,32.0,118.75
2024-09-07 14:00:00,-3.2613678,-1.3044739,298.39847,301.44556,0.0,32.0,118.75
2024-09-07 15:00:00,-3.3853302,-1.0272522,298.4301,300.9732,0.0,32.0,118.75
2024-09-07 16:00:00,-3.4352417,-0.86450195,298.399,301.06442,0.0,32.0,118.75
