valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-10-01 00:00:00,1.5514679,-4.896881,289.6073,291.5883,2.0980835e-05,32.0,118.75
2024-10-01 01:00:00,1.1897278,-4.773178,289.1845,291.27362,3.8146973e-06,32.0,118.75
2024-10-01 02:00:00,0.89559937,-4.8940277,288.241,292.78058,0.0,32.0,118.75
2024-10-01 03:00:00,0.7298279,-5.5450287,288.58264,293.33072,0.0,32.0,118.75
2024-10-01 04:00:00,0.59968567,-5.543274,288.4915,294.1751,0.0,32.0,118.75
2024-10-01 05:00:00,0.48329163,-5.5604553,286.15012,295.7198,0.0,32.0,118.75
2024-10-01 06:00:00,0.07611084,-5.804001,285.68835,295.68256,0.0,32.0,118.75
2024-10-01 07:00:00,-0.40390015,-5.4502563,285.53546,295.5919,0.0,32.0,118.75
2024-10-01 08:00:00,-0.39668274,-4.826172,284.45728,294.69983,0.0,32.0,118.75
2024-10-01 09:00:00,-0.09564209,-4.093384,284.48108,294.45706,0.0,32.0,118.75
2024-10-01 10:00:00,0.30407715,-3.0812683,283.80078,292.44537,0.0,32.0,118.75
2024-10-01 11:00:00,0.5036926,-2.9645996,284.59943,292.4506,0.0,32.0,118.75
2024-10-01 12:00:00,0.6884155,-3.0032196,284.68878,291.7422,0.0,32.0,118.75
2024-10-01 13:00:00,0.78678894,-2.791687,285.33936,291.67813,0.0,32.0,118.75
2024-10-01 14:00:00,0.45481873,-2.4465332,285.65234,290.88025,0.0,32.0,118.75
2024-10-01 15:00:00,0.64476013,-2.9088593,286.09277,290.18268,0.0,32.0,118.75
2024-10-01 16:00:00,0.6244354,-2.9068909,286.53635,290.1925,0.0,32.0,118.75
2024-10-01 17:00:00,0.67604065,-3.2215118,286.11148,289.40137,0.0,32.0,118.75
2024-10-01 18:00:00,0.53334045,-3.6438751,286.17957,289.26093,0.0,32.0,118.75
2024-10-01 19:00:00,-0.029251099,-3.628006,286.22058,289.51038,0.0,32.0,118.75
2024-10-01 20:00:00,-0.29466248,-3.4908447,285.16724,288.7325,0.0,32.0,118.75
2024-10-01 21:00:00,-0.51116943,-3.3422852,285.1687,288.61847,0.0,32.0,118.75
2024-10-01 22:00:00,-0.30429077,-3.0063477,284.48376,290.67166,0.0,32.0,118.75
2024-10-01 23:00:00,-0.5115509,-3.435089,284.46225,291.11395,0.0,32.0,118.75
2024-10-02 00:00:00,-0.7090912,-4.060501,283.85458,291.06854,0.0,32.0,118.75
2024-10-02 01:00:00,-1.250824,-4.27861,283.30362,291.1364,0.0,32.0,118.75
2024-10-02 02:00:00,-1.3191376,-4.0789795,281.44336,293.86646,0.0,32.0,118.75
2024-10-02 03:00:00,-0.71154785,-4.404236,280.18506,293.901,0.0,32.0,118.75
2024-10-02 04:00:00,-0.10992432,-4.5983734,278.94058,293.8307,0.0,32.0,118.75
2024-10-02 05:00:00,0.21325684,-4.729019,276.68225,294.55222,0.0,32.0,118.75
2024-10-02 06:00:00,0.14942932,-4.802109,276.20435,294.58923,0.0,32.0,118.75
2024-10-02 07:00:00,-0.26945496,-4.6774445,276.09644,294.55017,0.0,32.0,118.75
2024-10-02 08:00:00,-0.69392395,-4.313797,276.41412,293.14038,0.0,32.0,118.75
2024-10-02 09:00:00,-0.43499756,-3.1757355,277.84875,292.88483,0.0,32.0,118.75
2024-10-02 10:00:00,-0.18386841,-2.1916656,279.43146,289.11066,0.0,32.0,118.75
2024-10-02 11:00:00,0.026275635,-2.2516785,280.69482,289.02,0.0,32.0,118.75
2024-10-02 12:00:00,0.44984436,-2.4290466,281.08813,289.16937,0.0,32.0,118.75
2024-10-02 13:00:00,0.33364868,-2.2623901,281.3938,289.32623,0.0,32.0,118.75
2024-10-02 14:00:00,0.17041016,-2.531433,282.30023,288.32953,0.0,32.0,118.75
2024-10-02 15:00:00,-0.14613342,-2.7032928,282.41357,287.51996,0.0,32.0,118.75
2024-10-02 16:00:00,-0.41682434,-2.7226257,283.16815,287.54596,0.0,32.0,118.75
2024-10-02 17:00:00,-0.57284546,-2.5645752,283.18243,286.3465,0.0,32.0,118.75
2024-10-02 18:00:00,-0.5439606,-2.710434,283.23627,286.17993,0.0,32.0,118.75
2024-10-02 19:00:00,-0.41726685,-2.653534,283.135,286.03302,0.0,32.0,118.75
2024-10-02 20:00:00,-0.41351318,-2.6966095,282.8667,285.45825,0.0,32.0,118.75
2024-10-02 21:00:00,-0.52415466,-2.781433,282.75745,285.6493,0.0,32.0,118.75
2024-10-02 22:00:00,-0.14186096,-2.1929474,283.44202,289.1659,0.0,32.0,118.75
2024-10-02 23:00:00,-0.5859833,-3.1097717,283.46063,289.27823,0.0,32.0,118.75
2024-10-03 00:00:00,-1.0505219,-3.1833649,283.218,289.81525,0.0,32.0,118.75
2024-10-03 01:00:00,-1.4974976,-3.5882416,283.10162,289.95508,0.0,32.0,118.75
2024-10-03 02:00:00,-1.9125977,-3.63562,281.761,294.3097,0.0,32.0,118.75
2024-10-03 03:00:00,-2.2468567,-3.5375671,281.21426,294.5857,0.0,32.0,118.75
2024-10-03 04:00:00,-2.1349487,-3.1463013,281.2092,294.53046,0.0,32.0,118.75
2024-10-03 05:00:00,-2.027069,-3.0169983,281.0889,295.9627,0.0,32.0,118.75
2024-10-03 06:00:00,-2.1394348,-3.0937347,280.6314,295.9323,0.0,32.0,118.75
2024-10-03 07:00:00,-2.40448,-3.0631866,280.47415,296.07434,0.0,32.0,118.75
2024-10-03 08:00:00,-2.5996704,-2.7224274,280.88635,295.09546,0.0,32.0,118.75
2024-10-03 09:00:00,-1.4268036,-1.6706543,281.18423,294.73343,0.0,32.0,118.75
2024-10-03 10:00:00,-0.2939911,-1.8020477,283.7516,290.0342,0.0,32.0,118.75
2024-10-03 11:00:00,-0.27079773,-2.2947998,284.02808,289.94196,0.0,32.0,118.75
2024-10-03 12:00:00,-0.52867126,-2.460968,284.0617,289.77988,0.0,32.0,118.75
2024-10-03 13:00:00,-0.8057556,-2.4155884,284.1909,289.85754,0.0,32.0,118.75
2024-10-03 14:00:00,-1.3193359,-2.4628906,284.33997,288.51172,0.0,32.0,118.75
2024-10-03 15:00:00,-1.7628174,-2.365097,284.59607,288.02625,0.0,32.0,118.75
2024-10-03 16:00:00,-2.0722046,-2.1378174,284.5946,287.9332,0.0,32.0,118.75
2024-10-03 17:00:00,-2.1496887,-1.6582489,284.46893,286.5785,0.0,32.0,118.75
2024-10-03 18:00:00,-2.126068,-1.3489075,284.22357,286.3626,0.0,32.0,118.75
2024-10-03 19:00:00,-2.094101,-1.1599121,284.15524,286.0242,0.0,32.0,118.75
2024-10-03 20:00:00,-1.856308,-1.2310638,283.83392,285.17535,0.0,32.0,118.75
2024-10-03 21:00:00,-1.526413,-1.4835052,283.72217,285.10233,0.0,32.0,118.75
2024-10-03 22:00:00,-1.0901489,-1.47229,285.75336,289.31238,0.0,32.0,118.75
2024-10-03 23:00:00,-1.7458649,-2.0205994,285.3853,289.77008,0.0,32.0,118.75
2024-10-04 00:00:00,-1.5423126,-1.5443726,285.12567,290.44894,0.0,32.0,118.75
2024-10-04 01:00:00,-2.1200562,-1.2503357,284.26648,290.92358,0.0,32.0,118.75
2024-10-04 02:00:00,-3.2969055,-0.5314789,283.07208,295.09503,0.0,32.0,118.75
2024-10-04 03:00:00,-3.5701752,-0.57936096,283.16956,295.02533,0.0,32.0,118.75
2024-10-04 04:00:00,-3.8164215,-0.73049927,283.3367,295.35883,0.0,32.0,118.75
