valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-11-01 00:00:00,-1.9758148,-5.285736,287.95227,289.3515,3.7670135e-05,32.0,118.75
2024-11-01 01:00:00,-1.549057,-5.3038177,288.06433,289.01007,0.00027179718,32.0,118.75
2024-11-01 02:00:00,-1.4175262,-6.029587,288.51303,290.3952,0.00042963028,32.0,118.75
2024-11-01 03:00:00,-0.9338074,-5.2760773,288.5215,290.02728,0.00077056885,32.0,118.75
2024-11-01 04:00:00,-1.9854736,-6.46727,288.5952,289.75314,0.000910759,32.0,118.75
2024-11-01 05:00:00,-1.2783966,-6.1032867,288.36078,290.53534,0.00033903122,32.0,118.75
2024-11-01 06:00:00,-0.84310913,-6.381775,288.23602,291.011,4.053116e-05,32.0,118.75
2024-11-01 07:00:00,-0.45274353,-6.0487823,288.0982,291.3084,0.0,32.0,118.75
2024-11-01 08:00:00,-0.60816956,-5.6845093,287.3781,291.17865,0.0,32.0,118.75
2024-11-01 09:00:00,-0.48908997,-5.459305,287.32855,291.34207,0.0,32.0,118.75
2024-11-01 10:00:00,0.20805359,-4.130707,285.37793,290.73312,0.0,32.0,118.75
2024-11-01 11:00:00,0.6457977,-4.5442963,285.03052,290.4652,0.0,32.0,118.75
2024-11-01 12:00:00,1.0396881,-4.3498383,284.93796,289.98822,0.0,32.0,118.75
2024-11-01 13:00:00,1.4692993,-4.124634,285.00085,289.5884,0.0,32.0,118.75
2024-11-01 14:00:00,1.4815521,-3.883438,285.0371,288.45734,0.0,32.0,118.75
2024-11-01 15:00:00,1.3250122,-3.777008,285.1861,287.5685,0.0,32.0,118.75
2024-11-01 16:00:00,0.9316406,-3.1078796,285.30032,287.41644,0.0,32.0,118.75
2024-11-01 17:00:00,1.2707977,-2.4138489,285.25757,286.39246,0.0,32.0,118.75
2024-11-01 18:00:00,1.8244934,-2.458435,285.46973,286.41333,0.0,32.0,118.75
2024-11-01 19:00:00,1.8808441,-2.684555,285.62485,286.43597,0.0,32.0,118.75
2024-11-01 20:00:00,1.3895111,-2.726181,285.3388,285.83795,0.0,32.0,118.75
2024-11-01 21:00:00,1.0557556,-2.3683777,285.2133,285.66455,0.0,32.0,118.75
2024-11-01 22:00:00,1.3232269,-1.0539246,285.47437,286.4947,0.0,32.0,118.75
2024-11-01 23:00:00,1.8503723,-1.1014252,285.1862,286.4053,0.0,32.0,118.75
2024-11-02 00:00:00,1.7615814,-1.1886902,285.2083,286.87982,0.0,32.0,118.75
2024-11-02 01:00:00,1.3231964,-1.4284363,285.04315,287.3639,0.0,32.0,118.75
2024-11-02 02:00:00,0.9383087,-1.6077576,284.7874,292.45953,0.0,32.0,118.75
2024-11-02 03:00:00,0.92170715,-1.719696,284.91348,292.94446,0.0,32.0,118.75
2024-11-02 04:00:00,0.9497528,-1.8848877,285.01428,293.1677,0.0,32.0,118.75
2024-11-02 05:00:00,0.97966003,-2.0637054,284.1665,295.3064,0.0,32.0,118.75
2024-11-02 06:00:00,0.8771057,-2.2629395,284.17438,295.45703,0.0,32.0,118.75
2024-11-02 07:00:00,0.5912018,-2.303131,284.10046,295.52112,0.0,32.0,118.75
2024-11-02 08:00:00,0.11683655,-1.66539,285.1171,293.5736,0.0,32.0,118.75
2024-11-02 09:00:00,-0.4056244,-2.3027802,285.7838,292.45853,0.0,32.0,118.75
2024-11-02 10:00:00,-1.0145874,-1.792984,285.49646,287.6096,0.0,32.0,118.75
2024-11-02 11:00:00,-1.4266052,-1.9017944,285.60736,287.34363,0.0,32.0,118.75
2024-11-02 12:00:00,-1.4146881,-2.0055542,285.57944,287.18085,0.0,32.0,118.75
2024-11-02 13:00:00,-1.0513,-2.1194153,285.48544,287.28094,0.0,32.0,118.75
2024-11-02 14:00:00,-0.7360687,-1.8480988,285.1834,286.2097,0.0,32.0,118.75
2024-11-02 15:00:00,-0.56040955,-1.6594696,285.18442,286.1797,0.0,32.0,118.75
2024-11-02 16:00:00,-0.5997925,-1.8732758,285.15692,286.00098,0.0,32.0,118.75
2024-11-02 17:00:00,-0.9997864,-1.8848877,284.57037,285.18268,0.0,32.0,118.75
2024-11-02 18:00:00,-1.5021362,-1.7354584,284.4225,284.80542,0.0,32.0,118.75
2024-11-02 19:00:00,-1.8329315,-1.5440521,284.04153,284.32135,0.0,32.0,118.75
2024-11-02 20:00:00,-2.0602722,-1.236618,283.42737,283.42773,0.0,32.0,118.75
