valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-01-01 00:00:00,1.8542786,-1.9534454,273.73993,277.08154,9.536743e-07,31.25,121.5
2024-01-01 01:00:00,1.3354034,-2.2198334,273.8463,277.66226,4.7683716e-07,31.25,121.5
2024-01-01 02:00:00,-0.21620178,-2.0779724,273.7627,280.6042,0.0,31.25,121.5
2024-01-01 03:00:00,-0.5703888,-1.6165924,273.3762,281.1225,0.0,31.25,121.5
2024-01-01 04:00:00,-0.63378906,-1.4332275,273.5075,281.3858,0.0,31.25,121.5
2024-01-01 05:00:00,-0.6918335,-1.1894226,273.0564,282.0412,0.0,31.25,121.5
2024-01-01 06:00:00,-0.931839,-1.0196228,273.04263,282.13953,0.0,31.25,121.5
2024-01-01 07:00:00,-1.0066528,-0.6581421,272.9812,281.99756,0.0,31.25,121.5
2024-01-01 08:00:00,-0.9695282,-0.5362549,273.05634,280.85596,0.0,31.25,121.5
2024-01-01 09:00:00,-1.0485077,-0.82281494,273.38312,280.5577,0.0,31.25,121.5
2024-01-01 10:00:00,-1.2812042,-1.0122375,274.16464,278.33032,0.0,31.25,121.5
2024-01-01 11:00:00,-1.6846161,-0.8356018,274.36044,278.36673,0.0,31.25,121.5
2024-01-01 12:00:00,-1.6066742,-0.7848816,274.52658,278.23035,0.0,31.25,121.5
2024-01-01 13:00:00,-1.5569458,-0.8299713,274.76685,277.69168,0.0,31.25,121.5
2024-01-01 14:00:00,-1.8328705,-0.76483154,274.44794,276.48227,0.0,31.25,121.5
2024-01-01 15:00:00,-1.9773407,-0.6922455,274.23874,276.22192,0.0,31.25,121.5
2024-01-01 16:00:00,-2.4023132,-0.9673767,274.262,276.25034,0.0,31.25,121.5
2024-01-01 17:00:00,-1.9478302,-0.69407654,273.67963,275.17795,0.0,31.25,121.5
2024-01-01 18:00:00,-1.7395325,-1.1924744,273.86322,275.3903,0.0,31.25,121.5
2024-01-01 19:00:00,-2.2560425,-1.1950989,273.50592,275.08588,0.0,31.25,121.5
2024-01-01 20:00:00,-1.9902649,-1.4709167,273.46255,275.10596,0.0,31.25,121.5
2024-01-01 21:00:00,-1.6600952,-1.8901978,273.4029,274.75668,0.0,31.25,121.5
2024-01-01 22:00:00,-1.0236969,-1.9233704,274.16824,275.10992,0.0,31.25,121.5
2024-01-01 23:00:00,-1.2470856,-1.5054626,274.52744,275.70056,0.0,31.25,121.5
2024-01-02 00:00:00,-2.2677155,-1.2891235,275.13693,276.54803,0.0,31.25,121.5
2024-01-02 01:00:00,-2.3885803,-0.95040894,275.26257,277.38803,0.0,31.25,121.5
2024-01-02 02:00:00,-2.2974396,-0.31503296,275.02216,281.12378,0.0,31.25,121.5
2024-01-02 03:00:00,-2.2397003,0.7046051,274.9217,281.68793,0.0,31.25,121.5
2024-01-02 04:00:00,-2.1326141,1.5824432,275.3042,282.00427,0.0,31.25,121.5
2024-01-02 05:00:00,-1.3744812,1.1815948,275.61993,283.94897,0.0,31.25,121.5
2024-01-02 06:00:00,-0.72114563,0.10643005,275.6493,283.8703,0.0,31.25,121.5
2024-01-02 07:00:00,-1.6517792,-0.6224518,275.68082,283.81506,0.0,31.25,121.5
2024-01-02 08:00:00,-2.4846954,-1.5607758,276.13647,282.6426,0.0,31.25,121.5
2024-01-02 09:00:00,-2.4511719,-2.5177917,276.52487,281.79218,0.0,31.25,121.5
2024-01-02 10:00:00,-2.1307983,-2.6476898,276.4156,280.52185,0.0,31.25,121.5
2024-01-02 11:00:00,-1.7763977,-2.956192,275.78098,280.23886,0.0,31.25,121.5
2024-01-02 12:00:00,-1.7496185,-3.1010895,275.11432,280.17172,7.6293945e-06,31.25,121.5
2024-01-02 13:00:00,-1.5549774,-3.0643768,275.21594,280.0339,0.00012302399,31.25,121.5
2024-01-02 14:00:00,-1.2023163,-2.8328857,275.98486,279.3957,0.0004940033,31.25,121.5
2024-01-02 15:00:00,-0.07829285,-2.8083801,276.39926,279.38077,0.00079345703,31.25,121.5
2024-01-02 16:00:00,0.36436462,-2.6918793,276.44498,279.1964,0.00074863434,31.25,121.5
2024-01-02 17:00:00,0.83735657,-2.9166718,276.17862,278.24927,0.00048542023,31.25,121.5
2024-01-02 18:00:00,1.6396332,-3.1840668,276.19672,277.64392,0.0002861023,31.25,121.5
2024-01-02 19:00:00,2.3761444,-3.1807404,276.1651,277.26138,0.00028419495,31.25,121.5
2024-01-02 20:00:00,2.766159,-2.7358856,275.79138,277.08472,0.00012683868,31.25,121.5
2024-01-02 21:00:00,3.0674438,-2.3394318,275.77338,277.16205,2.3841858e-05,31.25,121.5
2024-01-02 22:00:00,3.5141602,-2.403778,275.53412,277.47278,2.861023e-06,31.25,121.5
2024-01-02 23:00:00,3.6110077,-2.5782318,275.65448,277.56158,1.4305115e-06,31.25,121.5
2024-01-03 00:00:00,4.075989,-3.1817322,275.21478,277.7228,9.536743e-07,31.25,121.5
2024-01-03 01:00:00,4.239319,-3.5063324,274.99176,277.99988,4.7683716e-07,31.25,121.5
2024-01-03 02:00:00,4.2090454,-3.5250702,274.62128,278.5821,4.7683716e-07,31.25,121.5
2024-01-03 03:00:00,4.043213,-3.2717133,274.8761,278.90356,0.0,31.25,121.5
2024-01-03 04:00:00,3.9768982,-3.0610962,274.67288,279.00803,0.0,31.25,121.5
2024-01-03 05:00:00,3.9253082,-3.036972,274.4641,279.97946,0.0,31.25,121.5
2024-01-03 06:00:00,3.824585,-3.1194763,274.5102,280.18652,0.0,31.25,121.5
2024-01-03 07:00:00,3.6490173,-3.062027,274.57605,280.26605,0.0,31.25,121.5
2024-01-03 08:00:00,3.315445,-2.9600372,274.53235,279.33032,0.0,31.25,121.5
2024-01-03 09:00:00,2.4100494,-2.386078,274.53806,279.29843,0.0,31.25,121.5
2024-01-03 10:00:00,1.4116974,-2.005005,274.37714,278.02533,0.0,31.25,121.5
2024-01-03 11:00:00,1.0594025,-2.0370026,274.2329,277.8651,0.0,31.25,121.5
2024-01-03 12:00:00,0.82199097,-1.9089966,274.3617,277.52322,4.7683716e-07,31.25,121.5
2024-01-03 13:00:00,0.60028076,-1.756424,274.31412,277.10596,4.7683716e-07,31.25,121.5
2024-01-03 14:00:00,0.4420929,-1.7223206,274.31238,276.0379,1.04904175e-05,31.25,121.5
2024-01-03 15:00:00,0.47203064,-1.3894806,274.0869,275.64233,0.0,31.25,121.5
2024-01-03 16:00:00,0.92129517,-1.3522491,273.96094,275.63583,0.0,31.25,121.5
2024-01-03 17:00:00,0.9251251,-0.63139343,273.33972,274.56854,0.0,31.25,121.5
2024-01-03 18:00:00,0.9772339,-0.01171875,273.3005,274.50714,0.0,31.25,121.5
2024-01-03 19:00:00,1.0427246,0.49287415,273.33765,274.49774,0.0,31.25,121.5
2024-01-03 20:00:00,0.8720093,0.9627228,273.10577,273.995,0.0,31.25,121.5
2024-01-03 21:00:00,0.42417908,1.2645874,273.22467,273.9403,9.536743e-07,31.25,121.5
2024-01-03 22:00:00,0.4197998,1.2419128,273.04712,273.92072,4.7683716e-07,31.25,121.5
2024-01-03 23:00:00,-0.19897461,0.8585663,272.96454,273.9398,0.0,31.25,121.5
2024-01-04 00:00:00,-0.06254578,1.5809021,272.58136,274.3584,0.0,31.25,121.5
2024-01-04 01:00:00,0.3918152,2.0675964,272.2386,274.81503,4.7683716e-07,31.25,121.5
2024-01-04 02:00:00,0.35424805,2.2450867,274.82782,278.5253,0.0,31.25,121.5
2024-01-04 03:00:00,0.31059265,2.6095428,274.7704,279.46582,0.0,31.25,121.5
2024-01-04 04:00:00,0.32724,3.138794,274.20056,280.1112,0.0,31.25,121.5
2024-01-04 05:00:00,0.41479492,3.4158936,274.09613,283.3478,0.0,31.25,121.5
2024-01-04 06:00:00,0.2276001,3.4418945,273.8764,283.62067,0.0,31.25,121.5
2024-01-04 07:00:00,-0.40376282,3.305542,273.64673,283.44763,0.0,31.25,121.5
2024-01-04 08:00:00,-1.239151,2.8581238,273.8028,282.13715,0.0,31.25,121.5
2024-01-04 09:00:00,-1.6380005,2.7838898,274.44452,281.3205,0.0,31.25,121.5
2024-01-04 10:00:00,-1.6399689,3.2046661,275.2749,279.05286,0.0,31.25,121.5
2024-01-04 11:00:00,-1.7352295,3.4706879,275.46832,279.02814,0.0,31.25,121.5
2024-01-04 12:00:00,-1.8417053,3.6210175,275.52304,279.23517,0.0,31.25,121.5
2024-01-04 13:00:00,-1.7382812,3.9548035,275.68304,279.7842,0.0,31.25,121.5
2024-01-04 14:00:00,-1.4265594,4.200882,275.9735,279.2193,0.0,31.25,121.5
