valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-02-01 00:00:00,-1.6458588,-5.067749,281.76425,282.09067,0.0006990433,31.25,121.5
2024-02-01 01:00:00,-1.9249725,-5.823395,281.70392,282.3335,0.00036907196,31.25,121.5
2024-02-01 02:00:00,-2.1445312,-5.8618164,280.93256,281.7577,0.0003733635,31.25,121.5
2024-02-01 03:00:00,-1.9187012,-5.819107,280.79282,281.6867,0.00031995773,31.25,121.5
2024-02-01 04:00:00,-1.2488298,-5.761154,280.52484,281.5508,0.0004196167,31.25,121.5
2024-02-01 05:00:00,-1.3776703,-5.502121,279.41196,280.85162,0.000248909,31.25,121.5
2024-02-01 06:00:00,-1.4075012,-5.668442,279.25595,280.74487,0.0002632141,31.25,121.5
2024-02-01 07:00:00,-1.444107,-6.0943604,279.05685,280.51367,4.2915344e-06,31.25,121.5
2024-02-01 08:00:00,-1.5512848,-6.276535,278.45743,280.0069,4.7683716e-06,31.25,121.5
2024-02-01 09:00:00,-0.9254608,-5.756653,278.1906,280.04532,0.00017499924,31.25,121.5
2024-02-01 10:00:00,-1.068039,-5.1327667,277.32596,279.48547,4.9591064e-05,31.25,121.5
2024-02-01 11:00:00,-0.60202026,-5.5297546,277.1492,279.3888,0.00013828278,31.25,121.5
2024-02-01 12:00:00,-0.6255188,-5.582367,276.99036,279.4449,1.5258789e-05,31.25,121.5
2024-02-01 13:00:00,-0.50457764,-5.467163,276.9856,279.3124,8.201599e-05,31.25,121.5
2024-02-01 14:00:00,-0.6769104,-5.6268005,276.82642,279.00397,0.00020122528,31.25,121.5
2024-02-01 15:00:00,-0.5660553,-5.6390533,276.97543,278.8943,0.00039482117,31.25,121.5
2024-02-01 16:00:00,-0.22116089,-5.5276337,277.00476,278.8822,0.0005569458,31.25,121.5
2024-02-01 17:00:00,-0.069610596,-5.7329407,276.6845,278.27777,0.0006709099,31.25,121.5
2024-02-01 18:00:00,-0.18185425,-5.723633,276.69205,278.08002,0.00056028366,31.25,121.5
2024-02-01 19:00:00,-0.51316833,-5.757004,276.58582,278.07465,0.0009813309,31.25,121.5
2024-02-01 20:00:00,-0.70365906,-5.522232,276.3047,277.89697,0.00071144104,31.25,121.5
2024-02-01 21:00:00,-0.45251465,-5.480896,276.10855,277.851,0.0003976822,31.25,121.5
2024-02-01 22:00:00,-0.23771667,-5.151764,276.1035,277.7248,0.00042629242,31.25,121.5
2024-02-01 23:00:00,0.25483704,-4.4971466,276.0786,277.70364,0.00042533875,31.25,121.5
2024-02-02 00:00:00,0.056427002,-4.807831,276.02502,277.7391,0.00015640259,31.25,121.5
2024-02-02 01:00:00,-0.122299194,-5.481888,276.079,277.8612,3.2424927e-05,31.25,121.5
2024-02-02 02:00:00,-1.0788116,-5.645767,275.93323,279.0425,1.1920929e-05,31.25,121.5
2024-02-02 03:00:00,-1.8019257,-5.517395,275.8915,278.94675,1.0967255e-05,31.25,121.5
2024-02-02 04:00:00,-1.4867859,-5.3308105,275.81165,279.1444,2.861023e-06,31.25,121.5
2024-02-02 05:00:00,-1.3937683,-5.3289185,275.81073,279.25906,1.4305115e-06,31.25,121.5
2024-02-02 06:00:00,-1.5579987,-5.375763,275.89948,279.315,1.0967255e-05,31.25,121.5
2024-02-02 07:00:00,-1.5585785,-5.119171,275.78192,279.0219,7.1525574e-06,31.25,121.5
2024-02-02 08:00:00,-1.585434,-4.7207184,275.9915,278.61618,1.4305115e-05,31.25,121.5
2024-02-02 09:00:00,-1.3899384,-4.3294983,276.16058,278.6112,1.66893e-05,31.25,121.5
2024-02-02 10:00:00,-1.0019531,-4.113678,276.23114,278.49487,1.7166138e-05,31.25,121.5
2024-02-02 11:00:00,-0.714386,-3.9040985,276.32867,278.50317,1.335144e-05,31.25,121.5
2024-02-02 12:00:00,-0.72398376,-4.2779846,276.47394,278.4953,1.7642975e-05,31.25,121.5
2024-02-02 13:00:00,-0.7131195,-4.027298,276.5942,278.5907,3.8146973e-05,31.25,121.5
2024-02-02 14:00:00,-0.50764465,-3.7709198,276.9492,278.61908,4.863739e-05,31.25,121.5
2024-02-02 15:00:00,-0.83387756,-4.062866,277.06976,278.80304,4.005432e-05,31.25,121.5
2024-02-02 16:00:00,-1.0622406,-4.0909424,277.1513,278.82977,3.9100647e-05,31.25,121.5
2024-02-02 17:00:00,-1.1590424,-4.2006836,277.24597,278.79932,5.722046e-05,31.25,121.5
2024-02-02 18:00:00,-1.6394196,-4.1917114,277.32123,278.77597,7.915497e-05,31.25,121.5
2024-02-02 19:00:00,-1.8241577,-4.0906525,277.3239,278.75873,0.00085639954,31.25,121.5
2024-02-02 20:00:00,-2.0257416,-3.8735962,277.47485,278.7752,0.0006299019,31.25,121.5
2024-02-02 21:00:00,-1.7277985,-3.6300354,277.38867,278.76114,0.000890255,31.25,121.5
2024-02-02 22:00:00,-1.0529327,-4.186157,277.9782,278.75543,0.0013990402,31.25,121.5
2024-02-02 23:00:00,-0.34371948,-4.431549,278.01343,278.73932,0.0013432503,31.25,121.5
2024-02-03 00:00:00,0.6674042,-4.3365326,277.9895,278.67145,0.0011620522,31.25,121.5
2024-02-03 01:00:00,1.3095245,-4.302765,278.01105,278.64624,0.00047016144,31.25,121.5
2024-02-03 02:00:00,-0.337677,-4.1837463,278.3037,279.11603,0.00066661835,31.25,121.5
2024-02-03 03:00:00,-1.0222931,-3.6994476,278.3946,279.25085,0.0005393028,31.25,121.5
2024-02-03 04:00:00,0.6279297,-4.250168,278.3619,279.65533,0.00014209747,31.25,121.5
2024-02-03 05:00:00,1.8211212,-4.1562653,278.23404,279.41193,1.9550323e-05,31.25,121.5
2024-02-03 06:00:00,1.9777222,-4.529541,278.1731,279.51172,4.2915344e-06,31.25,121.5
2024-02-03 07:00:00,1.9831543,-4.6180115,278.17963,279.42694,0.00015687943,31.25,121.5
2024-02-03 08:00:00,1.9051819,-4.647888,277.64825,279.10754,7.6293945e-05,31.25,121.5
2024-02-03 09:00:00,1.7739716,-4.8457336,277.29694,278.86084,1.8119812e-05,31.25,121.5
2024-02-03 10:00:00,1.9131622,-4.252594,277.0454,278.2801,2.3841858e-06,31.25,121.5
2024-02-03 11:00:00,1.927063,-4.6472626,276.89917,278.23633,1.4305115e-06,31.25,121.5
2024-02-03 12:00:00,1.6763306,-4.583481,276.81708,277.99268,2.3841858e-06,31.25,121.5
2024-02-03 13:00:00,1.8002777,-4.5581665,276.7574,277.84174,4.2915344e-06,31.25,121.5
2024-02-03 14:00:00,1.8385468,-4.663971,276.7024,277.8546,3.8146973e-06,31.25,121.5
2024-02-03 15:00:00,1.4582672,-4.467392,276.68866,278.05164,9.536743e-07,31.25,121.5
2024-02-03 16:00:00,0.8658142,-4.3005676,276.74362,278.12366,0.0,31.25,121.5
2024-02-03 17:00:00,1.0995636,-3.923233,276.6094,278.13403,0.0,31.25,121.5
2024-02-03 18:00:00,0.90560913,-4.124161,276.4914,278.24573,1.9073486e-06,31.25,121.5
2024-02-03 19:00:00,0.4906006,-4.2113037,276.43958,278.1572,0.0,31.25,121.5
2024-02-03 20:00:00,0.23686218,-4.3042603,276.56305,278.15286,4.7683716e-07,31.25,121.5
2024-02-03 21:00:00,0.19184875,-4.136673,276.54254,278.21936,1.9073486e-06,31.25,121.5
2024-02-03 22:00:00,1.3272552,-3.160965,276.72928,278.34955,2.4795532e-05,31.25,121.5
2024-02-03 23:00:00,0.4928589,-3.515976,276.7959,278.31525,0.00025463104,31.25,121.5
2024-02-04 00:00:00,0.38583374,-3.0239563,276.93674,278.36206,0.00017881393,31.25,121.5
2024-02-04 01:00:00,-0.17359924,-3.096054,277.1537,278.6839,2.7656555e-05,31.25,121.5
2024-02-04 02:00:00,-0.38934326,-3.3333893,277.71326,279.33328,3.8146973e-05,31.25,121.5
2024-02-04 03:00:00,-0.21577454,-3.3465729,277.8481,279.5391,0.00012493134,31.25,121.5
2024-02-04 04:00:00,0.7893677,-3.1261902,278.097,279.50342,0.00039291382,31.25,121.5
2024-02-04 05:00:00,2.2279358,-3.3233032,278.4321,279.18494,0.00087976456,31.25,121.5
2024-02-04 06:00:00,3.3741608,-3.5631561,278.3764,279.1632,0.0018939972,31.25,121.5
2024-02-04 07:00:00,2.6153107,-3.4744415,278.28094,278.96417,0.0018959045,31.25,121.5
2024-02-04 08:00:00,1.6018219,-2.8705292,277.99274,278.6191,0.0015649796,31.25,121.5
2024-02-04 09:00:00,0.66441345,-2.2394562,277.95297,278.69513,0.0014123917,31.25,121.5
2024-02-04 10:00:00,2.9959717,-1.1752625,278.0564,278.75018,0.0005841255,31.25,121.5
2024-02-04 11:00:00,3.9729156,-0.4093628,277.89767,278.56503,0.00056791306,31.25,121.5
2024-02-04 12:00:00,5.543045,-1.0106659,277.7633,278.3096,0.0011734962,31.25,121.5
2024-02-04 13:00:00,5.961685,-2.2698517,277.16284,277.8175,0.00030374527,31.25,121.5
2024-02-04 14:00:00,5.3477936,-2.6780243,276.2442,277.22192,5.722046e-06,31.25,121.5
2024-02-04 15:00:00,5.2648315,-2.7545319,275.81488,276.7653,9.536743e-07,31.25,121.5
2024-02-04 16:00:00,5.904709,-2.5399475,275.72876,276.7289,1.9073486e-06,31.25,121.5
2024-02-04 17:00:00,5.8707123,-2.8591766,274.8258,276.31757,1.9073486e-06,31.25,121.5
2024-02-04 18:00:00,5.7729187,-3.2386932,274.53156,276.17926,2.861023e-06,31.25,121.5
2024-02-04 19:00:00,5.8137054,-3.8213348,274.3299,276.08698,9.536743e-07,31.25,121.5
2024-02-04 20:00:00,5.510895,-3.8733826,273.71408,275.7036,9.536743e-07,31.25,121.5
2024-02-04 21:00:00,5.6707306,-3.1282043,273.303,275.6903,4.7683716e-07,31.25,121.5
2024-02-04 22:00:00,6.1980743,-1.8938141,272.73297,275.03476,1.9073486e-06,31.25,121.5
2024-02-04 23:00:00,5.9718323,-1.6853638,272.50662,275.03345,6.67572e-06,31.25,121.5
2024-02-05 00:00:00,5.9294434,-1.3226318,272.45325,275.04346,1.2397766e-05,31.25,121.5
2024-02-05 01:00:00,6.475754,-2.168274,272.3402,275.0114,1.5258789e-05,31.25,121.5
2024-02-05 02:00:00,5.877304,-4.814575,271.5733,275.52264,1.9073486e-06,31.25,121.5
2024-02-05 03:00:00,5.2143707,-5.401947,271.29425,275.8593,4.7683716e-07,31.25,121.5
2024-02-05 04:00:00,5.0569916,-5.22731,271.23932,275.9491,0.0,31.25,121.5
2024-02-05 05:00:00,4.919754,-4.7265625,271.0649,275.88306,0.0,31.25,121.5
2024-02-05 06:00:00,4.741638,-4.4484863,270.89743,275.845,0.0,31.25,121.5
2024-02-05 07:00:00,4.563202,-4.4321747,270.8271,275.89462,0.0,31.25,121.5
2024-02-05 08:00:00,3.9753265,-4.758316,270.70773,275.59338,0.0,31.25,121.5
2024-02-05 09:00:00,3.401886,-4.832382,270.43927,275.26013,0.0,31.25,121.5
2024-02-05 10:00:00,2.560135,-3.7337341,270.42084,275.05072,0.0,31.25,121.5
2024-02-05 11:00:00,2.184143,-3.2980194,270.49533,275.01877,0.0,31.25,121.5
2024-02-05 12:00:00,2.6482086,-2.3826904,270.5786,275.00894,0.0,31.25,121.5
2024-02-05 13:00:00,2.4227295,-2.615387,270.555,274.86505,0.0,31.25,121.5
2024-02-05 14:00:00,2.2879639,-2.77211,270.47876,274.82135,0.0,31.25,121.5
2024-02-05 15:00:00,1.8349457,-2.6701355,270.6209,274.67322,9.536743e-07,31.25,121.5
