valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-07-01 00:00:00,-0.6560211,2.8438568,299.11182,299.37674,0.0022854805,31.25,121.5
2024-07-01 01:00:00,-0.0851593,2.9183502,299.17786,299.3274,0.0023584366,31.25,121.5
2024-07-01 02:00:00,-0.23529053,2.6791687,299.73514,300.6859,0.0014314651,31.25,121.5
2024-07-01 03:00:00,-0.67388916,3.1100006,299.92532,301.06897,0.0012264252,31.25,121.5
2024-07-01 04:00:00,-0.5475006,3.1676483,300.18286,301.383,0.00064992905,31.25,121.5
2024-07-01 05:00:00,-0.8428345,3.1890564,300.26987,303.7339,0.0004196167,31.25,121.5
2024-07-01 06:00:00,-1.1310883,3.1082764,299.96695,304.43353,0.00038719177,31.25,121.5
2024-07-01 07:00:00,-1.6291656,2.8475494,300.22223,304.31696,0.0008506775,31.25,121.5
2024-07-01 08:00:00,-2.120407,2.42836,300.60547,302.7263,0.00074005127,31.25,121.5
2024-07-01 09:00:00,-2.3537903,3.0462341,300.18442,302.53845,0.0006160736,31.25,121.5
2024-07-01 10:00:00,-1.0382233,2.5218964,299.5058,301.18115,0.0006170273,31.25,121.5
2024-07-01 11:00:00,-1.282959,2.3052063,299.39722,300.9417,0.0006656647,31.25,121.5
2024-07-01 12:00:00,-1.534317,2.6966553,299.57336,300.9793,0.00048065186,31.25,121.5
2024-07-01 13:00:00,-1.5131073,2.4574585,299.53235,301.06335,0.00023269653,31.25,121.5
2024-07-01 14:00:00,-1.677414,2.5557709,299.56137,300.7785,0.00018978119,31.25,121.5
2024-07-01 15:00:00,-2.0319366,2.9303894,299.54926,300.7343,0.00030326843,31.25,121.5
2024-07-01 16:00:00,-2.2754517,3.6870117,299.57764,300.5453,3.33786e-06,31.25,121.5
2024-07-01 17:00:00,-2.070633,4.7075653,299.27847,300.38696,0.0,31.25,121.5
2024-07-01 18:00:00,-1.5298767,5.602066,299.19128,300.1994,0.0,31.25,121.5
2024-07-01 19:00:00,-0.92941284,6.2081146,299.0594,300.28198,0.0,31.25,121.5
2024-07-01 20:00:00,-0.6144409,6.7288513,298.93137,300.45193,0.0,31.25,121.5
2024-07-01 21:00:00,-0.25804138,7.040039,298.95532,300.74182,0.0,31.25,121.5
2024-07-01 22:00:00,0.85868835,5.9272614,299.14862,302.02643,0.0,31.25,121.5
2024-07-01 23:00:00,0.82466125,6.5738983,299.05157,302.29327,0.0,31.25,121.5
2024-07-02 00:00:00,0.9981384,6.792282,298.9982,302.29932,0.0,31.25,121.5
2024-07-02 01:00:00,0.9028778,7.262039,299.0661,302.7074,0.0,31.25,121.5
2024-07-02 02:00:00,1.16156,6.9915466,298.9122,304.78906,0.0,31.25,121.5
2024-07-02 03:00:00,2.0103607,6.8903046,299.32083,306.14648,0.0,31.25,121.5
2024-07-02 04:00:00,2.6714783,6.462845,299.41745,307.24603,0.0,31.25,121.5
2024-07-02 05:00:00,3.5273438,5.687393,299.25385,307.66302,2.3841858e-06,31.25,121.5
2024-07-02 06:00:00,3.8827515,4.432907,299.73767,306.5738,0.00044870377,31.25,121.5
2024-07-02 07:00:00,3.3598022,2.6945953,299.59943,305.7951,5.722046e-06,31.25,121.5
2024-07-02 08:00:00,3.2086792,1.2513428,298.85504,304.03772,0.00018405914,31.25,121.5
2024-07-02 09:00:00,3.3384705,0.1104126,298.74487,303.6938,0.0,31.25,121.5
2024-07-02 10:00:00,2.914856,-0.86665344,298.6667,301.92676,0.0,31.25,121.5
2024-07-02 11:00:00,2.1992493,-0.9250488,298.28693,301.4688,0.0,31.25,121.5
2024-07-02 12:00:00,2.1324463,-0.60739136,297.87585,301.1184,0.0,31.25,121.5
2024-07-02 13:00:00,2.1580353,-0.88920593,297.65598,300.6464,0.0,31.25,121.5
2024-07-02 14:00:00,1.8389587,-0.73150635,297.5188,299.98108,2.861023e-06,31.25,121.5
2024-07-02 15:00:00,1.3428497,-0.12649536,297.54187,300.368,0.00022697449,31.25,121.5
2024-07-02 16:00:00,1.1631622,0.62939453,297.31415,299.6425,0.0008735657,31.25,121.5
2024-07-02 17:00:00,0.8815918,0.4945526,297.1328,299.1754,0.00072813034,31.25,121.5
2024-07-02 18:00:00,0.64349365,-0.054122925,297.04617,299.0722,7.4863434e-05,31.25,121.5
2024-07-02 19:00:00,1.0151367,-0.2537384,296.8883,298.96484,0.00010538101,31.25,121.5
2024-07-02 20:00:00,1.2141113,-0.50619507,296.93137,298.37653,0.00012588501,31.25,121.5
2024-07-02 21:00:00,1.0548859,-0.4621582,296.84824,298.06848,2.4795532e-05,31.25,121.5
2024-07-02 22:00:00,0.07824707,0.33161926,297.0906,300.5009,0.0,31.25,121.5
2024-07-02 23:00:00,-0.33059692,0.30104065,296.9051,301.07556,0.0,31.25,121.5
2024-07-03 00:00:00,-0.6237488,0.37068176,297.40036,301.61234,0.0,31.25,121.5
2024-07-03 01:00:00,-1.1919708,0.76753235,298.1356,302.1089,0.0,31.25,121.5
2024-07-03 02:00:00,-1.1416931,1.1626587,298.86374,304.3232,1.1920929e-05,31.25,121.5
2024-07-03 03:00:00,-0.6713104,1.8277893,299.04025,304.81818,0.00012207031,31.25,121.5
2024-07-03 04:00:00,-0.34747314,2.2906342,299.1269,305.38556,0.00020551682,31.25,121.5
2024-07-03 05:00:00,0.36042786,2.600296,299.1269,306.68585,0.00020074844,31.25,121.5
2024-07-03 06:00:00,0.4009552,2.6062927,299.2787,306.55518,0.00015163422,31.25,121.5
2024-07-03 07:00:00,-0.030670166,2.425293,299.46307,306.4537,7.1525574e-06,31.25,121.5
2024-07-03 08:00:00,-0.59843445,2.4008636,299.96167,306.38165,1.6212463e-05,31.25,121.5
2024-07-03 09:00:00,-0.9487915,2.3317413,299.71375,305.74683,0.0001296997,31.25,121.5
2024-07-03 10:00:00,-0.84365845,0.6311188,299.54727,303.34717,0.00027942657,31.25,121.5
2024-07-03 11:00:00,-1.4779205,0.9903717,299.55573,303.28247,0.0,31.25,121.5
2024-07-03 12:00:00,-1.5015259,1.4532623,299.266,302.02075,0.0,31.25,121.5
2024-07-03 13:00:00,-1.4200745,1.6908569,299.1913,302.15356,0.0,31.25,121.5
2024-07-03 14:00:00,-1.2939148,1.9543304,299.1801,301.1355,0.0,31.25,121.5
2024-07-03 15:00:00,-0.842453,2.4097443,299.40228,301.2219,0.0,31.25,121.5
2024-07-03 16:00:00,-0.5656433,2.7500916,299.57715,301.64398,0.0,31.25,121.5
2024-07-03 17:00:00,-0.1982727,2.813858,299.41132,301.06885,0.0,31.25,121.5
2024-07-03 18:00:00,0.21937561,2.6845245,299.51416,301.08826,0.0,31.25,121.5
2024-07-03 19:00:00,0.36549377,2.509842,299.35785,301.12518,0.0,31.25,121.5
2024-07-03 20:00:00,0.36114502,2.517807,299.19556,300.66364,0.0,31.25,121.5
2024-07-03 21:00:00,0.33250427,2.6001434,299.08218,300.6423,0.0,31.25,121.5
2024-07-03 22:00:00,0.24311829,2.3044739,300.0702,303.4917,0.0,31.25,121.5
2024-07-03 23:00:00,0.09701538,2.6320496,299.97705,303.91675,0.0,31.25,121.5
2024-07-04 00:00:00,0.18424988,3.1323547,299.85358,304.46622,0.0,31.25,121.5
2024-07-04 01:00:00,0.42514038,3.735382,299.80814,304.88348,0.0,31.25,121.5
2024-07-04 02:00:00,0.7591553,4.1081085,300.04724,308.13937,0.0,31.25,121.5
2024-07-04 03:00:00,1.5287628,3.9958801,299.96985,308.6585,0.0,31.25,121.5
2024-07-04 04:00:00,2.5761566,3.6331787,299.97058,309.09045,0.0,31.25,121.5
2024-07-04 05:00:00,3.2473602,3.2721405,299.14423,309.90326,0.0,31.25,121.5
2024-07-04 06:00:00,3.0955658,3.1856842,298.83398,310.344,2.3841858e-06,31.25,121.5
2024-07-04 07:00:00,2.8177948,3.395462,298.89743,310.60953,0.0,31.25,121.5
2024-07-04 08:00:00,2.219925,3.3664703,299.155,309.90247,9.059906e-06,31.25,121.5
2024-07-04 09:00:00,1.4272614,3.197937,299.50623,309.5597,0.0,31.25,121.5
2024-07-04 10:00:00,1.260086,2.5965881,299.30432,307.19543,0.0,31.25,121.5
2024-07-04 11:00:00,0.97047424,2.245987,299.25488,306.5484,0.0,31.25,121.5
2024-07-04 12:00:00,0.4109497,2.2718048,298.70233,305.9317,0.0,31.25,121.5
2024-07-04 13:00:00,0.5115051,2.5701904,298.37604,305.80225,0.0,31.25,121.5
2024-07-04 14:00:00,0.93930054,2.53479,298.56522,304.12454,0.0,31.25,121.5
2024-07-04 15:00:00,1.490921,2.0032196,298.5122,303.919,0.0,31.25,121.5
2024-07-04 16:00:00,1.9187317,1.3452911,298.4256,303.8696,0.0,31.25,121.5
2024-07-04 17:00:00,1.9777222,0.7220154,298.16122,302.9461,0.0,31.25,121.5
2024-07-04 18:00:00,1.8159485,0.50860596,297.90186,302.75375,0.0,31.25,121.5
2024-07-04 19:00:00,1.644455,0.5915985,297.7788,302.47595,0.0,31.25,121.5
2024-07-04 20:00:00,1.1485748,0.6520691,297.7058,301.4386,0.0,31.25,121.5
2024-07-04 21:00:00,0.77604675,0.774765,297.5932,301.19168,0.0,31.25,121.5
2024-07-04 22:00:00,0.45941162,1.3167572,300.09802,304.17804,0.0,31.25,121.5
2024-07-04 23:00:00,0.013931274,1.7037354,299.94604,304.53186,0.0,31.25,121.5
2024-07-05 00:00:00,0.018844604,2.3690948,299.62662,305.23865,0.0,31.25,121.5
2024-07-05 01:00:00,0.31385803,2.854889,299.26605,305.73486,0.0,31.25,121.5
2024-07-05 02:00:00,0.7429352,3.184967,298.3735,308.38702,0.0,31.25,121.5
2024-07-05 03:00:00,1.119278,3.3943176,298.28674,308.95935,0.0,31.25,121.5
2024-07-05 04:00:00,1.5337677,3.4009552,298.22302,309.1994,0.0,31.25,121.5
2024-07-05 05:00:00,1.5335846,3.330841,297.961,310.37796,0.0,31.25,121.5
2024-07-05 06:00:00,0.9863739,3.5021057,298.38208,310.42694,9.536743e-07,31.25,121.5
2024-07-05 07:00:00,0.23577881,3.8361053,298.79932,310.1397,0.0,31.25,121.5
2024-07-05 08:00:00,-0.9037018,3.7934875,299.59845,309.50415,0.0,31.25,121.5
2024-07-05 09:00:00,-1.7989655,3.8280182,299.97476,309.04593,0.0,31.25,121.5
2024-07-05 10:00:00,-2.2368927,3.138443,299.62543,305.9767,0.0,31.25,121.5
2024-07-05 11:00:00,-2.5453491,3.7209625,299.4458,305.51117,0.0,31.25,121.5
2024-07-05 12:00:00,-2.2328033,4.111862,299.58063,305.5074,0.0,31.25,121.5
2024-07-05 13:00:00,-1.8249664,4.356537,299.55652,305.00803,0.0,31.25,121.5
2024-07-05 14:00:00,-1.5948792,5.242401,299.71396,304.2558,0.0,31.25,121.5
2024-07-05 15:00:00,-0.84095764,5.637802,299.45703,304.61713,0.0,31.25,121.5
2024-07-05 16:00:00,-0.10569763,5.048279,299.05872,304.46313,0.0,31.25,121.5
2024-07-05 17:00:00,0.02407837,4.741562,298.55914,303.8001,0.0,31.25,121.5
2024-07-05 18:00:00,-0.09838867,5.095978,298.27643,303.65485,0.0,31.25,121.5
2024-07-05 19:00:00,0.08912659,5.351959,298.0487,303.40018,0.0,31.25,121.5
2024-07-05 20:00:00,0.36506653,5.315796,298.04245,303.0315,0.0,31.25,121.5
2024-07-05 21:00:00,0.44932556,5.209442,297.74146,303.00574,0.0,31.25,121.5
2024-07-05 22:00:00,0.70643616,4.43721,298.3617,304.5163,0.0,31.25,121.5
2024-07-05 23:00:00,0.29408264,4.2553406,298.3601,305.02686,0.0,31.25,121.5
2024-07-06 00:00:00,0.3216858,4.4931946,298.1845,305.39313,0.0,31.25,121.5
2024-07-06 01:00:00,0.6745758,4.77211,298.4657,306.05582,0.0,31.25,121.5
2024-07-06 02:00:00,1.0106506,4.759308,298.62906,308.39194,0.0,31.25,121.5
2024-07-06 03:00:00,1.2587738,4.6733856,299.0227,308.89526,0.0,31.25,121.5
2024-07-06 04:00:00,1.3146515,4.621628,299.32172,309.223,0.0,31.25,121.5
2024-07-06 05:00:00,1.1762695,4.516388,299.21295,309.83633,0.0,31.25,121.5
2024-07-06 06:00:00,1.3323364,4.3654785,299.18793,309.7285,9.536743e-07,31.25,121.5
2024-07-06 07:00:00,1.0028076,4.276581,299.48578,309.61765,0.0,31.25,121.5
2024-07-06 08:00:00,0.07740784,4.236252,300.1258,308.96988,0.0,31.25,121.5
2024-07-06 09:00:00,-0.72384644,4.3384094,300.13577,308.38562,0.0,31.25,121.5
2024-07-06 10:00:00,-0.6485748,3.3961334,300.2171,305.89062,0.0,31.25,121.5
2024-07-06 11:00:00,-1.0829773,3.8139954,300.10217,305.91034,0.0,31.25,121.5
2024-07-06 12:00:00,-1.1972351,4.517456,300.00317,305.78323,0.0,31.25,121.5
2024-07-06 13:00:00,-0.826416,4.8333893,299.8955,305.56668,0.0,31.25,121.5
2024-07-06 14:00:00,-0.5532379,4.922226,299.81006,304.71564,0.0,31.25,121.5
2024-07-06 15:00:00,-0.26113892,5.026703,299.75,304.7639,0.0,31.25,121.5
2024-07-06 16:00:00,0.1121521,4.8644104,299.7484,304.5263,0.0,31.25,121.5
2024-07-06 17:00:00,0.41323853,4.2691803,299.40057,303.82355,0.0,31.25,121.5
2024-07-06 18:00:00,0.5639496,3.6945648,299.4623,303.7796,0.0,31.25,121.5
2024-07-06 19:00:00,0.5465088,3.560318,299.43494,303.60773,0.0,31.25,121.5
2024-07-06 20:00:00,0.5644684,3.4895477,299.44727,302.70908,0.0,31.25,121.5
2024-07-06 21:00:00,0.5879364,2.9505768,299.52438,302.59875,0.0,31.25,121.5
2024-07-06 22:00:00,0.7208557,2.8307343,299.8172,304.9118,0.0,31.25,121.5
2024-07-06 23:00:00,0.76290894,2.908661,299.61688,305.40155,0.0,31.25,121.5
2024-07-07 00:00:00,1.0797577,3.17247,299.67572,306.10947,0.0,31.25,121.5
2024-07-07 01:00:00,1.2155457,3.367508,299.8569,306.72266,0.0,31.25,121.5
2024-07-07 02:00:00,1.4548187,3.4803162,299.5295,308.8321,0.0,31.25,121.5
2024-07-07 03:00:00,1.5380859,3.790268,299.34436,309.45844,0.0,31.25,121.5
2024-07-07 04:00:00,1.7982635,3.8813171,298.4189,309.80908,0.0,31.25,121.5
2024-07-07 05:00:00,1.9242706,3.6130219,297.8166,310.97183,0.0,31.25,121.5
2024-07-07 06:00:00,1.545044,3.2988129,297.7226,310.9837,0.0,31.25,121.5
2024-07-07 07:00:00,0.9905243,3.0896149,298.1044,310.83734,0.0,31.25,121.5
2024-07-07 08:00:00,-0.25352478,3.1386719,299.5127,309.92102,0.0,31.25,121.5
2024-07-07 09:00:00,-1.1922913,3.511139,300.07336,309.15485,0.0,31.25,121.5
2024-07-07 10:00:00,-1.4826202,3.0156708,300.53857,306.60034,0.0,31.25,121.5
2024-07-07 11:00:00,-1.6954346,3.280899,300.5094,306.27542,0.0,31.25,121.5
2024-07-07 12:00:00,-1.7271729,3.9148407,300.3545,306.0847,0.0,31.25,121.5
2024-07-07 13:00:00,-1.4115143,4.3790283,300.05045,306.01776,0.0,31.25,121.5
2024-07-07 14:00:00,-0.8897705,4.3850403,299.70282,305.12466,0.0,31.25,121.5
2024-07-07 15:00:00,-0.55867004,4.5186005,299.68954,305.1001,0.0,31.25,121.5
2024-07-07 16:00:00,-0.2205658,4.5944214,299.54974,304.82962,0.0,31.25,121.5
2024-07-07 17:00:00,0.09629822,4.132477,299.45398,303.89258,0.0,31.25,121.5
2024-07-07 18:00:00,0.30508423,4.0313873,299.35086,303.84506,0.0,31.25,121.5
2024-07-07 19:00:00,0.592041,3.942276,299.31866,303.69254,0.0,31.25,121.5
2024-07-07 20:00:00,0.85279846,3.8336945,299.3003,302.9145,0.0,31.25,121.5
2024-07-07 21:00:00,0.87846375,3.7205963,299.3684,302.99133,0.0,31.25,121.5
2024-07-07 22:00:00,1.1672211,3.0034332,299.80637,304.9087,0.0,31.25,121.5
2024-07-07 23:00:00,1.026886,3.2203064,299.84766,305.32336,0.0,31.25,121.5
2024-07-08 00:00:00,1.6352997,3.3802643,299.85382,306.03943,0.0,31.25,121.5
2024-07-08 01:00:00,1.7175598,3.3615112,299.99915,306.5432,0.0,31.25,121.5
2024-07-08 02:00:00,1.7694092,3.5740356,299.88644,308.7306,0.0,31.25,121.5
2024-07-08 03:00:00,2.066269,3.5223694,299.7411,309.2719,4.7683716e-06,31.25,121.5
2024-07-08 04:00:00,2.3887787,2.9041595,299.3524,309.56024,0.0,31.25,121.5
2024-07-08 05:00:00,1.6466522,2.8639984,298.73633,310.14978,1.0967255e-05,31.25,121.5
2024-07-08 06:00:00,1.5649567,3.4548035,299.22656,309.83093,0.00031805038,31.25,121.5
2024-07-08 07:00:00,1.2120361,3.5862122,299.56445,309.72144,0.0,31.25,121.5
2024-07-08 08:00:00,0.3887329,3.2791443,300.10815,309.7697,0.0,31.25,121.5
2024-07-08 09:00:00,-0.639801,3.1120453,299.71036,308.70862,0.0,31.25,121.5
