valid_time,u10,v10,d2m,t2m,tp,latitude,longitude
2024-10-01 00:00:00,2.56221,-5.100006,294.86707,296.60977,1.5258789e-05,31.25,121.5
2024-10-01 01:00:00,2.3782043,-5.820053,294.84662,296.95917,4.4822693e-05,31.25,121.5
2024-10-01 02:00:00,2.5137634,-6.380356,293.8367,296.7552,7.05719e-05,31.25,121.5
2024-10-01 03:00:00,2.551117,-6.9210052,293.9674,296.86783,2.7179718e-05,31.25,121.5
2024-10-01 04:00:00,2.3203888,-7.4856567,293.97977,297.0677,8.583069e-06,31.25,121.5
2024-10-01 05:00:00,1.8534088,-7.924713,292.56223,296.87018,7.6293945e-06,31.25,121.5
2024-10-01 06:00:00,1.4345093,-8.0012665,292.09656,296.75287,1.1444092e-05,31.25,121.5
2024-10-01 07:00:00,1.5873108,-7.9590454,291.6507,296.3458,1.001358e-05,31.25,121.5
2024-10-01 08:00:00,1.6804657,-7.392578,290.23267,295.19788,1.1444092e-05,31.25,121.5
2024-10-01 09:00:00,1.3428345,-7.03479,289.60413,295.15237,1.7166138e-05,31.25,121.5
2024-10-01 10:00:00,0.28845215,-7.1857605,288.89453,294.4024,5.7697296e-05,31.25,121.5
2024-10-01 11:00:00,-0.3234558,-7.109131,288.7342,294.5248,3.671646e-05,31.25,121.5
2024-10-01 12:00:00,-0.4356079,-6.201462,288.4837,294.80273,9.059906e-06,31.25,121.5
2024-10-01 13:00:00,-0.20149231,-5.6744995,288.49756,295.14102,4.7683716e-07,31.25,121.5
2024-10-01 14:00:00,0.11399841,-6.083252,288.36328,294.86267,0.0,31.25,121.5
2024-10-01 15:00:00,0.14964294,-6.0846405,288.2744,294.8897,0.0,31.25,121.5
2024-10-01 16:00:00,-0.2915802,-5.6783752,288.06174,294.77063,0.0,31.25,121.5
2024-10-01 17:00:00,-0.091537476,-5.397293,287.3654,294.23145,0.0,31.25,121.5
2024-10-01 18:00:00,0.15150452,-5.291336,286.95496,294.18085,0.0,31.25,121.5
2024-10-01 19:00:00,0.14555359,-5.616287,287.31238,294.11194,0.0,31.25,121.5
2024-10-01 20:00:00,-0.10227966,-6.401001,286.65552,293.6075,0.0,31.25,121.5
2024-10-01 21:00:00,-0.49554443,-7.0161133,285.90894,293.61847,0.0,31.25,121.5
2024-10-01 22:00:00,-0.43222046,-5.871582,284.974,294.17557,0.0,31.25,121.5
2024-10-01 23:00:00,-0.35237122,-5.843292,284.81186,294.24677,0.0,31.25,121.5
2024-10-02 00:00:00,-0.8448334,-6.171829,284.0167,294.74042,0.0,31.25,121.5
2024-10-02 01:00:00,-1.1551208,-6.4788055,284.0048,294.98016,0.0,31.25,121.5
2024-10-02 02:00:00,-0.8113251,-6.404175,283.0039,295.8352,0.0,31.25,121.5
2024-10-02 03:00:00,-0.7486572,-6.2509155,283.32373,295.76233,0.0,31.25,121.5
2024-10-02 04:00:00,-0.61383057,-6.496811,283.35074,295.66467,0.0,31.25,121.5
2024-10-02 05:00:00,-0.35998535,-6.825699,283.09436,296.0112,0.0,31.25,121.5
2024-10-02 06:00:00,-0.20603943,-6.9700775,283.03247,295.7826,0.0,31.25,121.5
2024-10-02 07:00:00,-0.19914246,-6.767288,282.77808,295.5404,0.0,31.25,121.5
2024-10-02 08:00:00,-0.562088,-6.1702423,282.38873,294.5642,0.0,31.25,121.5
2024-10-02 09:00:00,-0.68499756,-5.560501,282.20618,294.25592,0.0,31.25,121.5
2024-10-02 10:00:00,0.4460144,-4.485611,283.5584,292.9759,0.0,31.25,121.5
2024-10-02 11:00:00,0.907135,-4.3473816,284.25537,292.9243,0.0,31.25,121.5
2024-10-02 12:00:00,1.2613678,-4.263031,284.60767,292.67914,0.0,31.25,121.5
2024-10-02 13:00:00,1.7906799,-3.4938354,284.89575,292.53522,0.0,31.25,121.5
2024-10-02 14:00:00,2.090332,-3.2179565,285.88812,292.1557,0.0,31.25,121.5
2024-10-02 15:00:00,2.2776947,-3.1779022,286.2124,292.10004,0.0,31.25,121.5
2024-10-02 16:00:00,2.3409882,-3.452118,286.50018,292.0655,0.0,31.25,121.5
2024-10-02 17:00:00,2.1644592,-3.788208,286.65118,291.95782,0.0,31.25,121.5
2024-10-02 18:00:00,1.9160004,-4.0395355,286.87103,292.09204,0.0,31.25,121.5
2024-10-02 19:00:00,1.603241,-4.044159,286.9807,292.28497,9.536743e-07,31.25,121.5
2024-10-02 20:00:00,1.1050415,-4.197586,286.5835,291.9934,1.4305115e-06,31.25,121.5
2024-10-02 21:00:00,0.32740784,-4.477722,286.45667,292.21375,4.7683716e-06,31.25,121.5
2024-10-02 22:00:00,0.09251404,-4.3247833,286.4928,293.09167,9.536743e-07,31.25,121.5
2024-10-02 23:00:00,-0.27641296,-4.767975,286.3786,293.69034,4.7683716e-06,31.25,121.5
2024-10-03 00:00:00,-1.030014,-5.6999664,284.89767,294.33868,4.7683716e-07,31.25,121.5
2024-10-03 01:00:00,-2.3129272,-6.486679,284.27936,294.48438,0.0,31.25,121.5
2024-10-03 02:00:00,-2.347168,-6.4403076,284.17114,296.09485,0.0,31.25,121.5
2024-10-03 03:00:00,-2.2927551,-6.3090515,283.9545,296.32007,0.0,31.25,121.5
2024-10-03 04:00:00,-2.1964722,-6.218567,283.8596,296.40546,0.0,31.25,121.5
2024-10-03 05:00:00,-2.1686707,-6.261139,283.3389,296.75177,0.0,31.25,121.5
2024-10-03 06:00:00,-2.252716,-6.1943207,283.21735,296.57098,0.0,31.25,121.5
2024-10-03 07:00:00,-2.5236206,-5.9538116,282.95853,296.41028,0.0,31.25,121.5
2024-10-03 08:00:00,-2.6953735,-5.4206696,282.30627,295.531,0.0,31.25,121.5
2024-10-03 09:00:00,-2.1494598,-4.1882324,282.77017,295.0557,0.0,31.25,121.5
2024-10-03 10:00:00,-1.4805145,-3.3713837,283.859,293.35843,0.0,31.25,121.5
2024-10-03 11:00:00,-1.377243,-3.4256592,284.33276,293.34625,0.0,31.25,121.5
2024-10-03 12:00:00,-1.0110931,-3.3105774,284.59686,292.983,0.0,31.25,121.5
2024-10-03 13:00:00,-0.7979431,-3.4351196,284.78854,292.87317,0.0,31.25,121.5
2024-10-03 14:00:00,-0.8261719,-3.7197266,284.99622,292.46094,0.0,31.25,121.5
2024-10-03 15:00:00,-0.819458,-3.7703705,285.10193,292.19812,0.0,31.25,121.5
2024-10-03 16:00:00,-0.7626343,-3.6749268,285.05945,292.23984,0.0,31.25,121.5
2024-10-03 17:00:00,-0.63601685,-3.410202,285.31073,291.66638,0.0,31.25,121.5
2024-10-03 18:00:00,-0.15927124,-3.4426575,285.20013,292.05402,0.0,31.25,121.5
2024-10-03 19:00:00,0.44691467,-3.7077637,285.249,291.96365,0.0,31.25,121.5
2024-10-03 20:00:00,0.59877014,-3.7203217,285.71674,292.15192,0.0,31.25,121.5
2024-10-03 21:00:00,0.29096985,-3.385849,285.66748,292.6082,0.0,31.25,121.5
2024-10-03 22:00:00,1.1090698,-2.5093994,286.68695,292.89246,0.0,31.25,121.5
2024-10-03 23:00:00,0.3537445,-3.398529,286.85992,294.0025,0.0,31.25,121.5
2024-10-04 00:00:00,-0.82844543,-3.5062866,286.72528,294.83176,0.0,31.25,121.5
2024-10-04 01:00:00,-2.9159546,-3.9368591,285.75867,295.35327,4.7683716e-07,31.25,121.5
2024-10-04 02:00:00,-4.674835,-3.9806976,285.15997,296.597,4.7683716e-07,31.25,121.5
2024-10-04 03:00:00,-4.550644,-4.1008453,285.46838,296.55267,0.0,31.25,121.5
2024-10-04 04:00:00,-4.270523,-4.195343,285.9363,296.79047,1.4305115e-06,31.25,121.5
2024-10-04 05:00:00,-4.327713,-3.954773,286.7608,296.72485,0.0,31.25,121.5
2024-10-04 06:00:00,-4.21698,-4.01178,286.78183,297.09537,2.861023e-06,31.25,121.5
2024-10-04 07:00:00,-4.1558075,-3.7334747,287.3164,296.92047,0.0,31.25,121.5
2024-10-04 08:00:00,-4.1055603,-3.1884918,287.50916,295.91425,0.0,31.25,121.5
2024-10-04 09:00:00,-3.2874603,-2.6604004,287.63922,295.76233,0.0,31.25,121.5
2024-10-04 10:00:00,-1.8439026,-2.7481995,287.3307,294.42798,0.0,31.25,121.5
2024-10-04 11:00:00,-1.5028839,-3.1099243,287.70544,294.43353,0.0,31.25,121.5
2024-10-04 12:00:00,-1.3465729,-3.235443,287.8595,294.41876,0.0,31.25,121.5
2024-10-04 13:00:00,-1.5953674,-3.3657684,287.85046,294.2276,0.0,31.25,121.5
2024-10-04 14:00:00,-1.7284698,-3.467865,288.5028,294.28333,0.0,31.25,121.5
2024-10-04 15:00:00,-1.813034,-3.4228516,288.8064,294.43878,1.9073486e-06,31.25,121.5
2024-10-04 16:00:00,-1.9230499,-3.4656372,289.19543,294.4584,0.0,31.25,121.5
2024-10-04 17:00:00,-2.0198517,-3.7914429,289.9321,294.2733,1.001358e-05,31.25,121.5
2024-10-04 18:00:00,-2.2597656,-4.185211,290.31262,294.28723,3.6239624e-05,31.25,121.5
2024-10-04 19:00:00,-2.666565,-4.3512726,290.87808,294.34683,6.198883e-06,31.25,121.5
2024-10-04 20:00:00,-3.3226166,-4.2061157,291.61066,294.14194,1.001358e-05,31.25,121.5
2024-10-04 21:00:00,-3.6319733,-3.9670868,291.7621,294.33276,3.33786e-06,31.25,121.5
